#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 03 00 220  5.9  7.8  4.59 14.29  8.74 271 1009.0  10.3 999.0 999.0 99.0 99.00
2007 01 03 04 00 228  7.1  8.9  4.68 14.29  8.89 268 1009.4  10.4 999.0 999.0 99.0 99.00
2007 01 03 05 00 212  6.6  8.4  4.69 16.67  9.16 284 1008.5  10.2 999.0 999.0 99.0 99.00
2007 01 03 06 00 198  8.9 10.5  4.60 14.29  8.97 274 1007.9  10.2 999.0 999.0 99.0 99.00
2007 01 03 07 00 206  7.8  9.4  4.79 14.29  8.83 273 1007.3  10.1 999.0 999.0 99.0 99.00
2007 01 03 08 00 215  8.5 10.4  4.51 14.29  8.96 277 1006.9  10.2 999.0 999.0 99.0 99.00
2007 01 03 09 00 208  7.1  8.7  4.34 14.29  8.74 272 1005.8   9.7 999.0 999.0 99.0 99.00
2007 01 03 10 00 218  7.2  8.5  4.76 14.29  8.95 279 1005.6   9.8 999.0 999.0 99.0 99.00
2007 01 03 11 00 225  8.0  9.9  4.48 12.50  8.81 275 1005.1   9.8 999.0 999.0 99.0 99.00
2007 01 03 12 00 224  8.7 11.1  3.98 11.11  8.22 269 1004.4   9.7 999.0 999.0 99.0 99.00
2007 01 03 13 00 237  9.2 11.1  4.51 11.11  8.35 275 1003.4   9.8 999.0 999.0 99.0 99.00
2007 01 03 14 00 289  7.7 12.0  3.81 12.50  7.84 285 1003.2   9.2 999.0 999.0 99.0 99.00
2007 01 03 15 00 318  5.0  6.6  4.17 14.29  8.01 281 1003.9   8.9 999.0 999.0 99.0 99.00
2007 01 03 16 00 280  4.8  7.4  4.19 12.50  8.69 275 1004.7   9.1 999.0 999.0 99.0 99.00
2007 01 03 17 00 274  5.9  7.5  4.09 11.11  8.62 276 1005.6   9.2 999.0 999.0 99.0 99.00
2007 01 03 18 00 257  5.6  7.3  3.82 14.29  8.42 276 1006.4   9.3 999.0 999.0 99.0 99.00
2007 01 03 19 00 252  7.4 10.2  3.72 12.50  8.57 273 1006.6   9.6 999.0 999.0 99.0 99.00
2007 01 03 20 00 253  8.5 10.8  3.72 14.29  8.82 272 1006.4   9.7 999.0 999.0 99.0 99.00
2007 01 03 21 00 255  9.2 11.8  3.81 14.29  8.59 264 1006.5   9.8 999.0 999.0 99.0 99.00
2007 01 03 22 00 264  8.7 10.9  3.82 12.50  8.47 271 1006.9   9.8 999.0 999.0 99.0 99.00
2007 01 03 23 00 281  7.9  9.9  3.64 12.50  8.01 275 1007.9   9.0 999.0 999.0 99.0 99.00
2007 01 04 00 00 272  7.5  9.6  3.52 14.29  7.78 270 1008.8   9.2 999.0 999.0 99.0 99.00
2007 01 04 01 00 282  8.7 11.1  3.81 12.50  7.94 284 1009.7   9.0 999.0 999.0 99.0 99.00
2007 01 04 02 00 289  8.4 10.4  3.85 12.50  8.02 276 1010.4   8.9 999.0 999.0 99.0 99.00
2007 01 04 03 00 284  7.0  8.7  3.73 12.50  7.92 271 1011.1   8.8 999.0 999.0 99.0 99.00
2007 01 04 04 00 271  5.2  6.6  3.57 12.50  7.51 285 1011.5   8.8 999.0 999.0 99.0 99.00
2007 01 04 05 00 248  4.5  6.8  3.54 14.29  7.88 283 1011.8   8.9 999.0 999.0 99.0 99.00
2007 01 04 06 00 228  5.4  7.6  3.53 12.50  8.02 266 1011.4   9.0 999.0 999.0 99.0 99.00
2007 01 04 07 00 217  5.8  7.9  3.53 11.11  8.24 271 1011.6   8.9 999.0 999.0 99.0 99.00
2007 01 04 08 00 212  7.5 11.7  3.85 14.29  8.62 279 1011.2   9.0 999.0 999.0 99.0 99.00
2007 01 04 09 00 228  7.1  8.9  3.73 11.11  8.65 278 1011.2   7.3 999.0 999.0 99.0 99.00
2007 01 04 10 00 230  5.2  7.3  3.52 16.67  8.09 273 1011.1   7.1 999.0 999.0 99.0 99.00
2007 01 04 11 00 263  4.6  7.0  3.82 16.67  9.06 275 1011.2   7.8 999.0 999.0 99.0 99.00
2007 01 04 12 00 305  5.9  8.0  3.76 12.50  9.02 277 1011.4   7.8 999.0 999.0 99.0 99.00
2007 01 04 13 00 301 10.7 13.3  3.60 16.67  8.93 273 1011.4   7.5 999.0 999.0 99.0 99.00
2007 01 04 14 00 299 11.3 14.8  4.24 16.67  8.06 277 1012.4   6.2 999.0 999.0 99.0 99.00
2007 01 04 15 00 318 11.8 14.3  4.03 14.29  8.36 275 1012.7   7.5 999.0 999.0 99.0 99.00
2007 01 04 16 00 313 12.1 14.5  4.56 16.67  8.55 284 1014.0   7.2 999.0 999.0 99.0 99.00
2007 01 04 17 00 316 11.4 15.2  4.18 14.29  7.96 281 1015.5   6.7 999.0 999.0 99.0 99.00
2007 01 04 18 00 313 10.3 13.5  4.52 16.67  7.89 278 1016.7   6.8 999.0 999.0 99.0 99.00
2007 01 04 19 00 309  8.0 12.2  4.65 14.29  8.03 277 1018.2   6.5 999.0 999.0 99.0 99.00
2007 01 04 20 00 291 12.4 16.4  4.52 14.29  8.03 278 1018.8   5.9 999.0 999.0 99.0 99.00
2007 01 04 21 00 306 12.2 16.0  5.06 14.29  8.62 279 1019.4   7.2 999.0 999.0 99.0 99.00
2007 01 04 22 00 304 11.9 14.6  4.88 14.29  8.22 284 1020.5   7.1 999.0 999.0 99.0 99.00
2007 01 04 23 00 310 10.8 13.3  4.94 12.50  8.09 285 1021.8   7.2 999.0 999.0 99.0 99.00
2007 01 05 00 00 306 10.5 13.8  4.63  9.09  7.89 286 1022.8   7.2 999.0 999.0 99.0 99.00
2007 01 05 01 00 306 11.8 15.3  5.19 14.29  8.50 276 1023.9   7.1 999.0 999.0 99.0 99.00
2007 01 05 02 00 329 10.1 13.1  4.88 14.29  8.12 278 1025.1   6.8 999.0 999.0 99.0 99.00
2007 01 05 03 00 292 10.8 14.7  4.82 14.29  8.31 279 1025.8   6.8 999.0 999.0 99.0 99.00
2007 01 05 04 00 308  8.8 11.0  5.06 14.29  8.71 280 1026.8   7.0 999.0 999.0 99.0 99.00
2007 01 05 05 00 281  8.0  9.6  4.79 14.29  8.56 278 1027.3   6.4 999.0 999.0 99.0 99.00
2007 01 05 06 00 282  7.8  9.9  4.67 14.29  8.66 270 1028.3   6.6 999.0 999.0 99.0 99.00
2007 01 05 07 00 313  8.1 10.5  4.97 14.29  9.07 281 1028.9   6.2 999.0 999.0 99.0 99.00
2007 01 05 08 00 248  3.5  5.5  4.27 12.50  8.87 271 1029.3   6.5 999.0 999.0 99.0 99.00
2007 01 05 09 00 255  5.9  7.9  4.58 12.50  8.99 278 1029.1   7.4 999.0 999.0 99.0 99.00
2007 01 05 10 00 234  6.1  9.5  4.08 11.11  8.52 280 1029.1   7.1 999.0 999.0 99.0 99.00
2007 01 05 11 00 202  7.2  8.7  4.73 12.50  9.20 278 1029.5   7.1 999.0 999.0 99.0 99.00
2007 01 05 12 00 212  8.9 10.6  4.95 14.29  9.44 282 1029.1   7.8 999.0 999.0 99.0 99.00
2007 01 05 13 00 211 10.0 12.4  4.27 14.29  8.53 281 1028.6   7.8 999.0 999.0 99.0 99.00
2007 01 05 14 00 200 11.5 13.6  4.34 12.50  8.28 268 1028.0   7.8 999.0 999.0 99.0 99.00
2007 01 05 15 00 201 12.8 15.8  4.00 12.50  7.66 269 1027.3   7.9 999.0 999.0 99.0 99.00
2007 01 05 16 00 201 13.8 16.6  4.21 12.50  7.77 275 1027.0   8.2 999.0 999.0 99.0 99.00
2007 01 05 17 00 205 14.2 17.6  4.07 12.50  7.22 284 1026.7   8.2 999.0 999.0 99.0 99.00
2007 01 05 18 00 215 13.3 15.7  4.16 12.50  7.34 265 1026.7   8.6 999.0 999.0 99.0 99.00
2007 01 05 19 00 209 13.3 16.3  4.54 14.29  7.67 272 1026.1   8.7 999.0 999.0 99.0 99.00
2007 01 05 20 00 209 13.0 16.0  4.25 14.29  7.54 273 1025.2   8.9 999.0 999.0 99.0 99.00
2007 01 05 21 00 205 13.3 16.2  4.84 14.29  7.90 999 1024.0   8.8 999.0 999.0 99.0 99.00
2007 01 05 22 00 229 11.3 14.4  5.04 14.29  8.24 268 1023.7   9.0 999.0 999.0 99.0 99.00
2007 01 05 23 00 231 12.3 15.6  4.48 14.29  7.75 288 1023.1   9.0 999.0 999.0 99.0 99.00
2007 01 06 00 00 225 13.4 16.7  4.64 12.50  7.71 290 1022.7   9.8 999.0 999.0 99.0 99.00
2007 01 06 01 00 235 12.0 15.5  5.38 12.50  8.06 288 1022.0   9.0 999.0 999.0 99.0 99.00
2007 01 06 02 00 220 13.2 16.4  4.80 14.29  7.80 291 1021.3   9.8 999.0 999.0 99.0 99.00
2007 01 06 03 00 220 14.3 17.9  5.24 14.29  8.01 294 1020.1   9.6 999.0 999.0 99.0 99.00
