YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 01 00  92  2.1  4.7  5.02 12.50 10.04 273 1027.8   8.6   8.2 999.0 99.0
96 01 01 01  80  1.9  4.0  5.39 16.67 10.85 266 1028.1   8.6   8.2 999.0 99.0
96 01 01 02 103  1.7  3.5  4.70 14.29 10.00 272 1028.2   8.6   7.9 999.0 99.0
96 01 01 03  86  1.4  3.2  4.83 14.29 10.10 254 1028.8   8.3   7.9 999.0 99.0
96 01 01 04 170  2.0  3.1  4.46 14.29  9.92 262 1028.5   9.3   8.1 999.0 99.0
96 01 01 05 115  2.4  4.7  4.63 14.29 10.13 269 1027.9   8.8   8.2 999.0 99.0
96 01 01 06 129  1.9  3.3  4.13 14.29  9.59 279 1028.5   9.4   8.5 999.0 99.0
96 01 01 07 195  2.5  3.6  3.77 12.50  9.18 255 1028.6   9.9   8.7 999.0 99.0
96 01 01 08 111  1.8  4.4  3.92 14.29  9.21 256 1028.3   9.7   9.0 999.0 99.0
96 01 01 09 109  3.3  5.4  3.75 14.29  9.16 273 1028.1   9.4   9.8 999.0 99.0
96 01 01 10 108  4.3  6.8  3.58 12.50  9.06 277 1027.8   9.0   9.6 999.0 99.0
96 01 01 11 110  3.3  5.0  3.93 14.29  9.58 279 1028.7   8.7   8.9 999.0 99.0
96 01 01 12 100  4.0  5.6  3.67 14.29  9.65 273 1028.4   8.3   7.9 999.0 99.0
96 01 01 13  99  5.0  6.8  3.40 14.29  9.36 267 1028.3   8.3   8.2 999.0 99.0
96 01 01 14 110  4.9  6.8  3.69 14.29  9.67 273 1028.1   8.6   8.4 999.0 99.0
96 01 01 15 113  4.7  6.7  3.39 14.29  9.40 280 1028.1   8.6   8.6 999.0 99.0
96 01 01 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 01 19 107  5.4  7.4  2.92 12.50  8.84 259 1028.4   9.4  10.5 999.0 99.0
96 01 01 20 106  5.1  6.7  2.71 14.29  8.66 261 1028.2   9.4  10.6 999.0 99.0
96 01 01 21 115  3.7  5.0  2.60 12.50  8.75 266 1027.7   9.5   9.7 999.0 99.0
96 01 01 22 121  4.2  5.7  2.75 12.50  9.01 265 1027.0   9.4   8.6 999.0 99.0
96 01 01 23 157  4.3  5.0  2.66 12.50  8.94 249 1026.9   9.8   7.9 999.0 99.0
96 01 02 00 166  4.4  5.2  2.86 12.50  9.18 237 1027.0   9.8   7.9 999.0 99.0
96 01 02 01 158  5.0  6.0  2.40 10.00  8.34 268 1026.8   9.5   7.8 999.0 99.0
96 01 02 02 161  5.6  7.6  2.45 12.50  8.29 266 1026.3   9.7   7.7 999.0 99.0
96 01 02 03 162  6.2  7.4  2.38 12.50  7.68 256 1025.8   9.8   8.1 999.0 99.0
96 01 02 04 166  6.3  7.3  2.30 12.50  7.63 268 1025.4  10.2   8.4 999.0 99.0
96 01 02 05 172  8.2  9.7  2.34 12.50  7.88 263 1024.4  10.5   8.7 999.0 99.0
96 01 02 06 176  7.8  9.0  2.37 11.11  7.27 255 1024.4  10.9   9.4 999.0 99.0
96 01 02 07 178  7.8  9.3  2.31 12.50  7.00 266 1024.1  11.0  10.5 999.0 99.0
96 01 02 08 180  7.3  9.1  2.16 12.50  6.43 264 1023.5  11.2  10.9 999.0 99.0
96 01 02 09 191  7.6  9.1  2.12 12.50  6.84 270 1023.4  11.3  11.0 999.0 99.0
96 01 02 10 192  6.3  8.1  2.04 12.50  6.92 258 1023.4  11.0   9.8 999.0 99.0
96 01 02 11 190  6.6  8.2  2.08 11.11  7.28 253 1022.6  10.9   9.0 999.0 99.0
96 01 02 12 195  5.5  6.7  2.16 10.00  7.40 256 1022.2  10.6   9.0 999.0 99.0
96 01 02 13 182  4.7  5.6  1.93 12.50  7.40 245 1021.9  10.2   7.2 999.0 99.0
96 01 02 14 178  4.5  5.2  2.21 11.11  7.97 236 1021.0   9.9   6.7 999.0 99.0
96 01 02 15 175  5.1  5.7  2.02 11.11  7.80 235 1020.5  10.1   7.1 999.0 99.0
96 01 02 16 175  6.1  7.8  1.98 12.50  7.82 250 1019.6  10.2   7.1 999.0 99.0
96 01 02 17 180  6.2  7.8  1.92 10.00  7.11 250 1019.3  10.5   7.4 999.0 99.0
96 01 02 18 178  7.5  9.1  2.01 11.11  6.87 251 1018.1  10.8   8.3 999.0 99.0
96 01 02 19 186  7.2  8.7  2.14 12.50  6.64 260 1018.0  10.8   8.3 999.0 99.0
96 01 02 20 190  8.7 11.3  2.05 11.11  6.19 265 1016.5  10.6   8.5 999.0 99.0
96 01 02 21 188  8.7 11.3  2.25 11.11  6.26 260 1015.3  10.6   8.7 999.0 99.0
96 01 02 22 184  9.5 11.6  2.23 11.11  6.39 259 1013.5  10.6   8.9 999.0 99.0
96 01 02 23 197 10.4 12.7  2.20 11.11  5.93 248 1012.3  10.5   9.0 999.0 99.0
96 01 03 00 175 11.7 14.4  2.41 11.11  6.29 232 1010.0  10.5   7.9 999.0 99.0
96 01 03 01 178 11.6 14.0  2.64 11.11  6.52 227 1008.8  10.6   8.3 999.0 99.0
96 01 03 02 186 11.6 14.7  2.77  5.88  6.06 184 1007.7  11.0   8.7 999.0 99.0
96 01 03 03 213 12.2 15.6  2.88 11.11  6.23 249 1006.6  11.3   9.5 999.0 99.0
96 01 03 04 225 11.0 13.7  3.02  7.14  6.35 216 1006.3  11.8  10.5 999.0 99.0
96 01 03 05 222 12.3 15.2  3.37  7.69  6.45 244 1005.9  11.2  10.9 999.0 99.0
96 01 03 06 229 12.2 14.9  3.55  7.14  6.56 234 1005.7  11.0  11.0 999.0 99.0
96 01 03 07 210  9.9 12.2  3.60  7.69  6.71 245 1006.0  10.5  11.0 999.0 99.0
96 01 03 08 221 10.2 13.2  3.91  7.14  6.77 233 1006.2  10.6  11.0 999.0 99.0
96 01 03 09 236  8.0 10.2  4.00  9.09  7.09 256 1006.3  11.0  10.9 999.0 99.0
96 01 03 10 257  7.9 10.2  4.27 11.11  7.72 251 1007.2  10.2   9.4 999.0 99.0
96 01 03 11 253  6.9  9.0  4.65 10.00  8.07 244 1008.6   9.9   9.0 999.0 99.0
96 01 03 12 251  8.1  9.9  5.00 10.00  8.34 249 1009.5   9.5   9.1 999.0 99.0
96 01 03 13 278  8.9 10.8  4.57 11.11  8.39 247 1009.7   9.5   9.2 999.0 99.0
96 01 03 14 283  8.5 11.1  5.76 12.50  8.89 249 1010.3   9.7   9.1 999.0 99.0
96 01 03 15 282  9.3 11.9 99.00 99.00 99.00 999 1011.1   9.5   8.7 999.0 99.0
96 01 03 16 276  8.2 10.5  5.64 12.50  9.51 241 1011.8   9.1   8.6 999.0 99.0
96 01 03 17 279  8.0 10.6  5.68 14.29  9.39 260 1012.6   9.0   8.7 999.0 99.0
96 01 03 18 290  5.5  8.1  5.39 14.29  9.27 261 1013.1   8.9   8.7 999.0 99.0
96 01 03 19 299  6.1  8.0  4.88 14.29  8.96 258 1013.4   8.7   9.0 999.0 99.0
96 01 03 20 268  5.3  8.7  4.59 12.50  8.62 258 1013.3   8.2   9.0 999.0 99.0
