YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 01 00  93  7.0  8.8  2.96 11.11  7.99 245 1015.8   9.4   9.5   7.1 99.0 99.00
2002 01 01 01  92  8.1 10.0  3.06 12.50  8.31 256 1014.9   9.0   9.5   6.2 99.0 99.00
2002 01 01 02 103  8.0 10.1  3.15 12.50  8.31 249 1014.2   8.9   9.5   6.3 99.0 99.00
2002 01 01 03 105  8.0 10.0  2.98 12.50  8.06 252 1013.9   8.9   9.5   6.0 99.0 99.00
2002 01 01 04 104  8.7 11.5  2.92 12.50  7.90 258 1013.5   9.5   9.5   6.2 99.0 99.00
2002 01 01 05  97  9.1 11.3  3.09 11.11  7.74 251 1012.9   9.4   9.7   6.3 99.0 99.00
2002 01 01 06 102 10.1 12.2  2.77 12.50  6.87 263 1011.9   9.4   9.7   5.7 99.0 99.00
2002 01 01 07 103 10.1 12.8  2.62 11.11  6.77 252 1010.9   9.4   9.7   5.1 99.0 99.00
2002 01 01 08 101 10.8 13.6  2.85 11.11  7.02 258 1010.0   9.5   9.7   3.8 99.0 99.00
2002 01 01 09 101 10.4 13.1  2.50 11.11  6.40 251 1009.5   9.5   9.7   4.3 99.0 99.00
2002 01 01 10  96  9.9 12.1  2.53 11.11  6.37 249 1008.7   9.7   9.7   4.6 99.0 99.00
2002 01 01 11  96 10.0 13.3  2.58 11.11  6.24 251 1007.3   9.9   9.7   3.9 99.0 99.00
2002 01 01 12 106 11.2 13.9  2.56 11.11  5.91 243 1006.5  10.2   9.7   3.8 99.0 99.00
2002 01 01 13 109 11.8 14.6  2.66 11.11  6.15 240 1005.5  10.5   9.7   4.0 99.0 99.00
2002 01 01 14 105 12.3 15.4  2.42 10.00  5.80 222 1004.9  10.2   9.7   4.5 99.0 99.00
2002 01 01 15 111 12.5 14.7  2.49 11.11  5.88 241 1004.1  10.3   9.7   4.8 99.0 99.00
2002 01 01 16 116 11.3 14.2  2.69 11.11  6.02 244 1004.1  10.3   9.7   5.6 99.0 99.00
2002 01 01 17 122 10.2 12.3  2.48  5.56  5.94 125 1004.1  10.1   9.7   7.0 99.0 99.00
2002 01 01 18 120  9.1 11.1  2.83 12.50  6.36 240 1004.2   9.9   9.8   8.2 99.0 99.00
2002 01 01 19 125  9.4 11.2  3.09 11.11  6.76 244 1003.9  10.6   9.8   8.9 99.0 99.00
2002 01 01 20 139 11.2 13.2  3.72 11.11  6.89 226 1003.4  11.3   9.8   9.7 99.0 99.00
2002 01 01 21 124 10.0 13.5  3.69 10.00  6.93 227 1002.4  11.6   9.8   9.4 99.0 99.00
2002 01 01 22 121  9.2 11.2  3.89 12.50  7.22 235 1001.9  10.5   9.8   9.1 99.0 99.00
2002 01 01 23 117 10.7 12.7  3.65 11.11  7.08 234 1001.2  10.9   9.9   8.6 99.0 99.00
2002 01 02 00 113 11.1 14.1  3.93 11.11  7.19 225 1000.8  11.0  10.2   8.3 99.0 99.00
2002 01 02 01 113  9.8 11.8  4.08 11.11  7.38 224 1000.7  11.3  10.2   8.6 99.0 99.00
2002 01 02 02 119  9.8 12.0  3.68 11.11  7.50 219 1000.6  11.4  10.2   8.3 99.0 99.00
2002 01 02 03 119  8.1  9.9  4.25 11.11  7.95 219 1001.1  11.4   9.8   8.2 99.0 99.00
2002 01 02 04 121  7.7  9.5  4.08 11.11  7.97 212 1001.5  11.3   9.8   8.4 99.0 99.00
2002 01 02 05 124  6.8  7.8  4.31 11.11  8.17 208 1001.4  12.1   9.8   9.1 99.0 99.00
2002 01 02 06 159  7.9  9.8  4.83 11.11  8.54 214 1001.8  12.7   9.8   8.8 99.0 99.00
2002 01 02 07 174 12.0 17.2  4.86 12.50  8.48 214 1001.3  13.2   9.8   9.1 99.0 99.00
2002 01 02 08 170 10.1 12.3  5.25 12.50  8.50 211 1001.4  11.8   9.8  10.1 99.0 99.00
2002 01 02 09 155 10.2 12.7  5.21 12.50  8.33 210 1001.6  11.0   9.8  10.2 99.0 99.00
2002 01 02 10 164 13.1 18.0  4.96 12.50  8.42 213 1001.4  11.7   9.8  10.7 99.0 99.00
2002 01 02 11 167 13.1 16.2  5.38 12.50  8.59 218 1001.5  11.7   9.8  10.8 99.0 99.00
2002 01 02 12 172 12.6 16.0  5.74 12.50  8.50 216 1001.7  11.6   9.8  10.5 99.0 99.00
2002 01 02 13 165 11.3 13.7  5.83 12.50  8.74 207 1002.2  11.3   9.8  10.3 99.0 99.00
2002 01 02 14 170 11.6 14.8  5.52 12.50  8.54 216 1002.9  11.4   9.8   9.4 99.0 99.00
2002 01 02 15 172 13.2 16.4  5.43 12.50  8.56 218 1003.3  11.7   9.8   9.6 99.0 99.00
2002 01 02 16 173 13.1 15.6  5.51 12.50  8.55 215 1004.3  11.3   9.8   9.3 99.0 99.00
2002 01 02 17 175 13.9 18.3  5.24 12.50  8.02 223 1005.5  11.3   9.8   8.6 99.0 99.00
2002 01 02 18 175 14.4 18.9  5.24 12.50  8.13 217 1006.3  11.4   9.8   8.2 99.0 99.00
2002 01 02 19 177 15.1 18.5  5.37 12.50  8.06 221 1007.2  11.4  10.0   8.3 99.0 99.00
2002 01 02 20 177 13.6 16.4  5.58 12.50  8.27 215 1007.9  11.3  10.2   8.4 99.0 99.00
2002 01 02 21 180 13.8 17.0  6.48 12.50  8.91 225 1008.2  11.3  10.2   8.0 99.0 99.00
2002 01 02 22 180 13.3 16.4  6.26 12.50  8.71 230 1008.7  11.0  10.2   8.3 99.0 99.00
2002 01 02 23 180 12.1 15.1  6.05 12.50  8.93 236 1009.5  11.0  10.2   8.3 99.0 99.00
2002 01 03 00 183 11.3 15.4  6.02 14.29  9.08 242 1010.5  11.0  10.2   8.6 99.0 99.00
2002 01 03 01 185 11.1 14.0  5.91 14.29  8.98 237 1011.1  10.9  10.2   8.5 99.0 99.00
2002 01 03 02 183 10.4 13.9  6.35 12.50  9.11 237 1011.8  10.6  10.2   8.5 99.0 99.00
2002 01 03 03 183 10.5 13.3  6.21 12.50  9.34 239 1012.5  10.6  10.2   8.6 99.0 99.00
