#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50 113 11.3 13.7  2.05 13.79  5.71 271 1029.1   6.7  11.1 999.0 99.0 99.00
2016 01 01 00 50 113 10.0 12.2  1.95 13.79  5.84 278 1029.7   6.4  11.1 999.0 99.0 99.00
2016 01 01 01 50 106 11.3 13.6  2.20 13.79  5.72 296 1029.5   5.8  11.1 999.0 99.0 99.00
2016 01 01 02 50 108 12.2 14.6  2.38 13.79  6.15 282 1029.6   5.5  11.1 999.0 99.0 99.00
2016 01 01 03 50 118 11.4 14.0  2.49 17.39  6.14 282 1029.6   5.5  11.1 999.0 99.0 99.00
2016 01 01 04 50 115 12.7 15.8  2.55 17.39  6.66 298 1028.9   5.3  11.1 999.0 99.0 99.00
2016 01 01 05 50 107 12.1 14.7  2.45 16.00  6.06 327 1029.1   5.6  11.1 999.0 99.0 99.00
2016 01 01 06 50 118 11.7 14.2  2.67 16.00  6.32 296 1029.0   5.5  11.1 999.0 99.0 99.00
2016 01 01 07 50 116 12.6 14.9  2.43 16.00  6.54 286 1028.4   5.5  11.1 999.0 99.0 99.00
2016 01 01 08 50 113 12.4 14.7  2.58 16.00  6.42 289 1028.0   5.3  11.1 999.0 99.0 99.00
2016 01 01 09 50 114 12.9 16.3  2.46 14.81  6.01 285 1027.6   5.2  11.1 999.0 99.0 99.00
2016 01 01 10 50 116 12.9 16.4  2.74 14.81  6.29 284 1027.1   5.4  11.1 999.0 99.0 99.00
2016 01 01 11 50 113 13.1 15.5  2.71 16.00  6.29 279 1026.5   5.6  11.1 999.0 99.0 99.00
2016 01 01 12 50 112 14.6 17.5  2.74 16.00  6.55 288 1025.9   5.6  11.1 999.0 99.0 99.00
2016 01 01 13 50 116 12.6 14.9  2.70 14.81  6.26 282 1025.9   5.8  11.1 999.0 99.0 99.00
2016 01 01 14 50 120 13.8 16.9  2.65 14.81  6.29 280 1025.4   6.1  11.0 999.0 99.0 99.00
2016 01 01 15 50 121 13.4 17.2  2.72 14.81  6.39 279 1024.9   6.2  11.1 999.0 99.0 99.00
2016 01 01 16 50 121 12.4 14.8  2.72 13.79  6.30 283 1025.1   6.6  11.1 999.0 99.0 99.00
2016 01 01 17 50 130 10.9 13.1  2.65 16.00  6.31 289 1025.3   6.7  11.2 999.0 99.0 99.00
2016 01 01 18 50 104 10.7 13.8  2.68 16.00  6.62 281 1025.4   6.5  11.2 999.0 99.0 99.00
2016 01 01 19 50 117 11.1 13.4  2.70 14.81  6.62 288 1024.3   7.0  11.1 999.0 99.0 99.00
2016 01 01 20 50 112  9.1 11.1  2.47 12.90  6.52 290 1023.9   7.2  11.2 999.0 99.0 99.00
2016 01 01 21 50 100 10.1 12.2  2.17 12.12  6.13 285 1023.3   7.8  11.3 999.0 99.0 99.00
2016 01 01 22 50 107  9.0 11.5  2.31 16.00  6.59 286 1023.0   7.9  11.2 999.0 99.0 99.00
2016 01 01 23 50 116 10.5 12.7  2.26 14.81  6.39 287 1022.5   8.5  11.2 999.0 99.0 99.00
2016 01 02 00 50 101 10.9 12.8  2.23 14.81  6.04 279 1022.4   7.4  11.0 999.0 99.0 99.00
2016 01 02 01 50 114 11.5 13.1  2.28 13.79  6.06 284 1021.8   7.4  11.0 999.0 99.0 99.00
2016 01 02 02 50 107 11.1 13.5  2.19 14.81  5.85 288 1021.7   7.2  11.2 999.0 99.0 99.00
2016 01 02 03 50 113 10.8 13.0  1.99 13.79  5.64 280 1021.6   6.8  11.2 999.0 99.0 99.00
2016 01 02 04 50 116  9.9 11.6  1.98 14.81  5.57 271 1021.8   6.4  11.2 999.0 99.0 99.00
2016 01 02 05 50 110 10.2 12.4  2.07 13.79  5.88 284 1021.6   6.6  11.1 999.0 99.0 99.00
2016 01 02 06 50 122  9.7 11.5  2.03 13.79  5.68 277 1021.7   7.6  11.1 999.0 99.0 99.00
2016 01 02 07 50 120 10.5 12.6  1.91 12.90  5.84 293 1021.6   6.8  11.1 999.0 99.0 99.00
2016 01 02 08 50 119 10.3 12.4  1.82 12.12  5.81 271 1021.3   6.7  11.1 999.0 99.0 99.00
2016 01 02 09 50 120 10.3 12.5  1.93 12.12  5.73 299 1021.1   6.3  10.9 999.0 99.0 99.00
2016 01 02 10 50 125 10.8 13.2  1.91 12.12  5.72 282 1020.9   6.2  10.9 999.0 99.0 99.00
2016 01 02 11 50 123 10.5 12.1  1.97 12.90  5.68 285 1020.6   6.0  10.9 999.0 99.0 99.00
2016 01 02 12 50 118 10.0 11.6  1.81 10.81  5.72 274 1020.4   6.0  10.9 999.0 99.0 99.00
2016 01 02 13 50 121 11.2 13.2  1.88 14.81  5.52 316 1020.4   5.7  10.9 999.0 99.0 99.00
2016 01 02 14 50 125 11.7 14.2  1.87 10.81  5.29 266 1020.0   5.4  10.9 999.0 99.0 99.00
2016 01 02 15 50 121 11.0 14.1  1.83  5.00  5.21 134 1020.0   5.2  10.9 999.0 99.0 99.00
2016 01 02 16 50 112 11.3 13.3  1.92  9.09  5.38 258 1020.1   4.6  10.9 999.0 99.0 99.00
2016 01 02 17 50 121 10.3 12.3  1.95  5.00  5.35 126 1020.4   4.7  10.9 999.0 99.0 99.00
2016 01 02 18 50 114  9.1 11.6  1.85 19.05  5.45 307 1020.4   4.7  11.0 999.0 99.0 99.00
2016 01 02 19 50 112  8.9 10.9  1.75 13.79  5.69 280 1019.5   4.8  11.0 999.0 99.0 99.00
2016 01 02 20 50 119  9.1 10.6  1.96 19.05  6.32 295 1018.8   5.6  11.0 999.0 99.0 99.00
2016 01 02 21 50 117  7.5  9.4  2.43 17.39  7.34 283 1018.4   5.9  11.0 999.0 99.0 99.00
2016 01 02 22 50 115  8.6 11.1  2.02 17.39  6.63 289 1017.8   5.8  11.0 999.0 99.0 99.00
2016 01 02 23 50 114  8.7 10.3  2.22 17.39  7.26 289 1017.6   5.9  11.0 999.0 99.0 99.00
2016 01 03 00 50 127  8.4 10.4  2.33 16.00  7.57 278 1017.2   5.8  11.0 999.0 99.0 99.00
2016 01 03 01 50 122  8.2 10.3  2.43 16.00  7.65 289 1017.2   5.6  10.9 999.0 99.0 99.00
2016 01 03 02 50 109  8.8 11.0  2.67 16.00  8.23 291 1017.3   5.2  10.9 999.0 99.0 99.00
2016 01 03 03 50 111  9.8 11.7  2.57 16.00  7.53 278 1017.2   4.9  10.9 999.0 99.0 99.00
2016 01 03 04 50 114 10.3 12.4  2.50 16.00  7.09 267 1017.1   4.3  10.9 999.0 99.0 99.00
2016 01 03 05 50 111 10.8 13.4  2.40 14.81  7.04 277 1016.6   4.0  10.8 999.0 99.0 99.00
2016 01 03 06 50 113 10.8 13.4  2.51 16.00  6.80 279 1016.2   3.8  10.8 999.0 99.0 99.00
2016 01 03 07 50 112 10.9 14.0  2.60 14.81  6.76 289 1015.8   3.3  10.8 999.0 99.0 99.00
2016 01 03 08 50 111 10.5 13.0  2.45 14.81  6.19 271 1015.3   3.1  10.8 999.0 99.0 99.00
2016 01 03 09 50 100 10.3 13.4  2.28 14.81  6.11 261 1014.7   2.8  10.7 999.0 99.0 99.00
2016 01 03 10 50 107  8.5 10.4  2.47 14.81  6.63 275 1014.9   2.6  10.7 999.0 99.0 99.00
2016 01 03 11 50 103  8.8 11.5  2.26 13.79  6.61 281 1014.2   2.8  10.7 999.0 99.0 99.00
2016 01 03 12 50 112  8.7 10.5  2.44 13.79  7.35 277 1013.6   2.8  10.7 999.0 99.0 99.00
2016 01 03 13 50 110  9.0 11.0  2.48 14.81  7.53 284 1013.4   3.1  10.6 999.0 99.0 99.00
2016 01 03 14 50 104  8.8 10.9  2.73 14.81  7.65 281 1013.1   2.9  10.6 999.0 99.0 99.00
2016 01 03 15 50 106  8.1 10.8  2.45 13.79  7.07 286 1012.9   3.0  10.6 999.0 99.0 99.00
2016 01 03 16 50 109  7.7  9.9  2.84 14.81  7.89 280 1013.0   3.4  10.6 999.0 99.0 99.00
2016 01 03 17 50 117  7.5 10.0  2.28 14.81  7.31 286 1013.0   4.0  10.6 999.0 99.0 99.00
2016 01 03 18 50 107  7.6  9.6  2.82 13.79  8.50 281 1012.8   4.1  10.6 999.0 99.0 99.00
2016 01 03 19 50 112  6.6  8.7  2.36 14.81  7.90 288 1012.2   4.8  10.6 999.0 99.0 99.00
2016 01 03 20 50 102  6.6  8.0  2.57 13.79  7.98 280 1011.6   5.1  10.7 999.0 99.0 99.00
2016 01 03 21 50 106  8.0 10.0  2.07 14.81  6.78 276 1011.0   4.6  10.7 999.0 99.0 99.00
2016 01 03 22 50 107  7.4  9.6  2.21 13.79  7.09 299 1010.7   4.9  10.7 999.0 99.0 99.00
2016 01 03 23 50 105  7.4 10.2  2.46 14.81  7.53 285 1010.8   5.1  10.7 999.0 99.0 99.00
2016 01 04 00 50 101  7.1  9.2  2.26 13.79  7.02 293 1010.6   5.2  10.7 999.0 99.0 99.00
2016 01 04 01 50  99  6.8  8.9  2.26 14.81  7.14 293 1010.3   5.2  10.7 999.0 99.0 99.00
2016 01 04 02 50 101  6.9  8.4  2.18 14.81  7.15 296 1010.1   5.0  10.6 999.0 99.0 99.00
2016 01 04 03 50 110  6.7  7.7  2.11 13.79  6.87 283 1009.7   5.4  10.7 999.0 99.0 99.00
2016 01 04 04 50 107  6.9  8.5  1.95 13.79  6.82 287 1009.3   5.5  10.7 999.0 99.0 99.00
