#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50  92  8.5 10.0  2.81 10.81  7.55 291 1023.8   6.9   8.7   2.9 99.0 99.00
2012 01 01 00 50  96  8.9 11.4  2.48 12.90  7.20 269 1022.6   7.2   8.7   2.9 99.0 99.00
2012 01 01 01 50  96  8.8 11.0  2.93 11.43  7.75 273 1021.9   7.4   8.7   2.2 99.0 99.00
2012 01 01 02 50 108  7.0  8.9  2.75 12.90  7.76 282 1021.9   7.4   8.7   2.2 99.0 99.00
2012 01 01 03 50 110  7.0  9.3  2.65 12.90  7.57 280 1022.0   8.0   8.7   2.6 99.0 99.00
2012 01 01 04 50 105  7.5  8.9  2.20 11.43  6.96 278 1021.3   7.8   8.7   3.3 99.0 99.00
2012 01 01 05 50 101  7.1  8.8  2.06 12.90  7.00 275 1021.2   7.7   8.7   3.7 99.0 99.00
2012 01 01 06 50 106  6.4  8.5  2.31 13.79  7.28 284 1021.7   8.1   8.7   3.5 99.0 99.00
2012 01 01 07 50 102  7.3  8.6 99.00 99.00 99.00 999 1021.9   7.9   8.7   3.8 99.0 99.00
2012 01 01 08 50 105  8.5 10.2  2.22 11.43  6.82 273 1021.3   7.8   8.8   3.9 99.0 99.00
2012 01 01 09 50 105  7.8  9.3  2.02 11.43  6.54 276 1021.1   8.1   8.8   4.5 99.0 99.00
2012 01 01 10 50 105  7.6  9.3  1.88 11.43  6.34 271 1021.2   8.4   8.8   4.5 99.0 99.00
2012 01 01 11 50 103  8.1  9.8  1.54 12.12  5.52 265 1020.7   8.8   8.8   4.6 99.0 99.00
2012 01 01 12 50 106  8.0  9.8  1.79 12.12  6.04 279 1020.5   8.9   8.9   4.2 99.0 99.00
2012 01 01 13 50  99  8.0  9.6  1.68 10.81  5.68 267 1020.2   8.7   8.9   4.2 99.0 99.00
2012 01 01 14 50  99  8.1  9.9  1.85 10.00  5.66 256 1020.6   8.8   8.9   4.2 99.0 99.00
2012 01 01 15 50  98  8.5 10.5  2.01 10.81  5.94 255 1020.2   8.7   8.9   4.2 99.0 99.00
2012 01 01 16 50  97 10.0 11.8  2.11 10.00  5.85 258 1019.7   8.8   8.9   3.6 99.0 99.00
2012 01 01 17 50 102  9.4 11.9  2.51 10.81  6.49 251 1019.6   9.1   8.9   3.4 99.0 99.00
2012 01 01 18 50  99  8.3 10.1  2.36 10.00  6.52 253 1019.5   9.6   9.0   3.4 99.0 99.00
2012 01 01 19 50 106  8.0  9.8  2.24 10.00  6.38 255 1018.9   9.6   9.0   3.9 99.0 99.00
