#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50  12  2.6  3.1  1.92 12.12  8.15 290 1025.6   7.7   7.8   7.7 99.0 99.00
2014 01 01 00 50 342  1.9  2.4  2.13 12.12  8.75 287 1026.0   7.6   7.8   7.6 99.0 99.00
2014 01 01 01 50  16  2.6  3.3  2.04 12.12  8.81 292 1026.2   7.6   7.8   7.6 99.0 99.00
2014 01 01 02 50  21  1.9  2.4  2.16 11.43  9.11 284 1026.5   7.6   7.8   7.6 99.0 99.00
2014 01 01 03 50  76  1.8  2.7  2.00 12.12  9.00 286 1026.6   8.1   7.7   8.1 99.0 99.00
2014 01 01 04 50 125  4.2  5.5  1.96 13.79  8.77 280 1027.0   8.2   7.7   8.2 99.0 99.00
2014 01 01 05 50 115  4.2  5.1  2.07 13.79  9.27 285 1027.4   7.9   7.7   7.9 99.0 99.00
2014 01 01 06 50 103  4.3  5.4  1.98 13.79  8.92 278 1027.4   7.9   7.8   7.9 99.0 99.00
2014 01 01 07 50  94  3.8  4.8  1.74 14.81  8.88 283 1027.4   7.6   7.8   7.6 99.0 99.00
2014 01 01 08 50 101  3.7  4.8  1.69 12.12  8.94 281 1027.1   7.6   7.8   7.6 99.0 99.00
2014 01 01 09 50  94  3.1  4.0  1.69 12.12  8.72 283 1027.2   7.7   7.9   7.7 99.0 99.00
2014 01 01 10 50 106  3.7  4.6  1.71 13.79  9.04 281 1027.3   7.7   7.9   7.7 99.0 99.00
2014 01 01 11 50 112  3.4  5.2  1.85 13.79  9.43 276 1027.8   7.7   8.0   7.6 99.0 99.00
2014 01 01 12 50 101  3.4  4.3  1.68 13.79  8.69 284 1027.8   7.5   8.2   7.0 99.0 99.00
2014 01 01 13 50  92  3.1  3.9  1.72 13.79  8.82 279 1027.5   7.4   8.1   6.9 99.0 99.00
2014 01 01 14 50  99  5.4  6.9  1.80 12.12  8.81 281 1026.9   7.4   8.0   6.8 99.0 99.00
2014 01 01 15 50  99  5.0  6.1  1.73 13.79  9.02 279 1026.8   7.5   8.4   6.6 99.0 99.00
2014 01 01 16 50 100  5.9  7.2  1.83 12.90  8.94 283 1026.8   7.4   8.5   6.3 99.0 99.00
2014 01 01 17 50 112  4.5  5.6  1.65 13.79  8.73 283 1027.1   7.4   8.5   6.4 99.0 99.00
2014 01 01 18 50  99  4.1  5.0  1.69 12.12  8.44 275 1027.2   7.1   8.5   6.2 99.0 99.00
2014 01 01 19 50  92  4.6  5.7  1.53 12.12  7.95 276 1026.5   7.1   8.6   6.2 99.0 99.00
2014 01 01 20 50 105  4.6  5.4  1.52 13.79  8.55 284 1025.9   7.4   8.5   6.6 99.0 99.00
2014 01 01 21 50  69  2.2  3.1  1.42 12.90  8.43 274 1025.7   7.7   8.4   6.5 99.0 99.00
2014 01 01 22 50  44  3.4  3.9  1.29 12.90  7.88 278 1025.3   7.6   8.4   6.7 99.0 99.00
2014 01 01 23 50 354  1.8  2.2  1.42 12.90  8.85 282 1025.8   7.7   8.5   6.7 99.0 99.00
2014 01 02 00 50  42  2.8  3.5  1.29 12.12  8.83 286 1025.3   7.7   8.5   6.7 99.0 99.00
2014 01 02 01 50  48  3.2  3.9  1.32 12.90  9.22 284 1024.8   7.8   8.5   6.7 99.0 99.00
2014 01 02 02 50  49  2.6  3.2  1.24 12.12  9.01 281 1024.4   7.9   8.4   7.0 99.0 99.00
2014 01 02 03 50  68  2.9  3.7  1.43 12.12  9.82 286 1024.0   7.7   8.3   7.1 99.0 99.00
2014 01 02 04 50  81  3.1  3.9  1.30 12.12  9.73 276 1023.5   8.4   8.3   7.1 99.0 99.00
2014 01 02 05 50  99  3.4  4.0  1.11 10.00  8.97 273 1023.5   8.1   8.2   6.6 99.0 99.00
2014 01 02 06 50 107  3.3  4.2  0.96 12.12  7.77 269 1023.1   7.7   8.0   6.7 99.0 99.00
2014 01 02 07 50 119  3.2  4.1  1.14 11.43  8.49 261 1023.0   7.7   7.6   7.1 99.0 99.00
2014 01 02 08 50 133  3.1  4.0  1.06 11.43  8.62 269 1022.5   8.0   7.6   7.6 99.0 99.00
2014 01 02 09 50 166  3.7  4.1  1.16 11.43  9.48 266 1022.6   8.7   7.9   7.9 99.0 99.00
2014 01 02 10 50 158  2.8  3.4  1.06 12.12  9.15 268 1022.9   8.8   8.3   8.1 99.0 99.00
2014 01 02 11 50 130  4.7  5.8  1.01 11.43  8.61 278 1022.2   8.5   8.6   7.7 99.0 99.00
2014 01 02 12 50 137  4.6  5.4  1.10 11.43  8.63 269 1022.0   8.5   8.7   7.5 99.0 99.00
2014 01 02 13 50 145  3.9  4.6  0.98 10.81  7.73 273 1021.7   8.7   8.7   7.9 99.0 99.00
2014 01 02 14 50 155  5.3  6.1  1.05 12.12  8.24 268 1021.0   8.9   8.8   7.4 99.0 99.00
2014 01 02 15 50 157  4.4  5.1  1.03 16.00  8.33 284 1020.8   8.9   8.8   7.0 99.0 99.00
2014 01 02 16 50 177  5.7  6.4  1.08 11.43  7.60 271 1020.6   9.2   8.8   7.2 99.0 99.00
2014 01 02 17 50 175  6.4  7.5  1.23 12.12  7.60 274 1020.3   9.2   8.8   7.4 99.0 99.00
2014 01 02 18 50 172  7.1  8.4  1.09 12.12  6.35 259 1019.8   9.3   8.9   7.4 99.0 99.00
2014 01 02 19 50 185  7.2  8.3  1.33 10.81  6.03 274 1019.2   9.3   8.9   7.4 99.0 99.00
2014 01 02 20 50 187  7.2  8.3  1.16 16.00  5.05 261 1018.3   9.3   8.9   7.8 99.0 99.00
2014 01 02 21 50 193  6.0  6.9  1.26 12.12  5.54 269 1017.8   9.5   8.9   8.4 99.0 99.00
2014 01 02 22 50 198  7.4  9.1  1.45 11.43  5.97 269 1017.2   9.5   9.0   8.7 99.0 99.00
2014 01 02 23 50 211  8.0  9.8  1.39 14.81  5.65 283 1016.9   9.1   9.0   8.5 99.0 99.00
2014 01 03 00 50 200  8.6 10.6  1.60 14.81  5.88 286 1016.6   9.0   9.0   8.3 99.0 99.00
2014 01 03 01 50 193  8.6 10.0  1.83 10.81  5.96 274 1016.3   9.0   8.9   8.7 99.0 99.00
2014 01 03 02 50 209  8.2  9.6  1.97 16.00  5.98 296 1016.1   9.2   8.9   9.1 99.0 99.00
2014 01 03 03 50 343  9.2 11.9  2.18 14.81  6.79 304 1016.6   9.0   8.9   8.9 99.0 99.00
2014 01 03 05 50 304  3.5  4.4  2.44 14.81  7.89 300 1018.5   8.6   8.7   8.3 99.0 99.00
2014 01 03 06 50 339  6.6  7.8  2.39 16.00  8.07 297 1019.0   8.6   8.7   7.7 99.0 99.00
2014 01 03 07 50 335  6.8  8.7  2.25 16.00  7.27 292 1019.7   8.7   8.7   6.7 99.0 99.00
2014 01 03 08 50 340  6.5  9.1  2.52 14.81  7.95 296 1020.0   8.5   8.5   5.7 99.0 99.00
2014 01 03 09 50 334  7.8  9.2  2.40 13.79  7.94 291 1020.6   8.4   8.4   4.3 99.0 99.00
2014 01 03 10 50 339  8.1 10.0  2.76 14.81  8.41 298 1021.8   8.1   8.3   3.5 99.0 99.00
2014 01 03 11 50 352  7.1  9.0  2.86 14.81  8.24 294 1022.5   8.1   8.3   3.3 99.0 99.00
2014 01 03 12 50 355  5.5  7.5  2.76 14.81  7.96 302 1022.8   8.1   8.3   3.5 99.0 99.00
2014 01 03 13 50 346  5.4  7.9  3.54 13.79  8.94 300 1023.3   8.1   8.0   2.8 99.0 99.00
2014 01 03 14 50 343  4.9  6.1  3.07 13.79  8.33 302 1023.9   7.9   7.6   3.5 99.0 99.00
2014 01 03 15 50 333  4.8  6.3  3.06 13.79  8.48 298 1024.0   7.9   7.5   2.8 99.0 99.00
2014 01 03 16 50 329  4.5  6.3  3.35 12.90  8.36 295 1024.7   8.0   7.5   3.2 99.0 99.00
2014 01 03 17 50 335  4.3  6.2  3.28 13.79  8.71 287 1025.0   8.0   7.6   3.4 99.0 99.00
2014 01 03 18 50 316  4.5  6.0  3.28 13.79  8.43 287 1025.2   8.1   7.7   3.4 99.0 99.00
2014 01 03 19 50 323  4.8  6.3  3.28 13.79  8.43 299 1025.0   8.0   7.9   3.7 99.0 99.00
2014 01 03 20 50 296  3.8  5.3  3.03 13.79  8.25 290 1024.8   8.1   8.1   4.1 99.0 99.00
2014 01 03 21 50 349  4.1  5.6  2.80 13.79  8.12 297 1024.6   7.8   8.4   4.5 99.0 99.00
2014 01 03 22 50 321  6.2  8.1  2.77 13.79  7.73 291 1024.6   8.3   8.5   4.3 99.0 99.00
2014 01 03 23 50 343  6.2  7.4  2.92 12.12  7.90 291 1025.2   8.2   8.7   4.0 99.0 99.00
2014 01 04 00 50 352  5.6  6.9  2.78 13.79  7.46 300 1025.2   8.0   8.7   4.0 99.0 99.00
