YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 03 11 999 99.0 99.0  2.01 10.81  5.38 307 9999.0 999.0 999.0 999.0 99.0
98 01 03 12 999 99.0 99.0  2.02 10.00  5.63 304 9999.0 999.0 999.0 999.0 99.0
98 01 03 13 999 99.0 99.0  1.89 10.81  5.33 291 9999.0 999.0 999.0 999.0 99.0
98 01 03 14 999 99.0 99.0  1.92 10.00  5.48 293 9999.0 999.0 999.0 999.0 99.0
98 01 03 15 999 99.0 99.0  1.84 14.81  5.27 296 9999.0 999.0 999.0 999.0 99.0
98 01 03 16 999 99.0 99.0  1.81 13.79  5.22 290 9999.0 999.0 999.0 999.0 99.0
98 01 03 17 999 99.0 99.0  1.87 14.81  5.06 285 9999.0 999.0 999.0 999.0 99.0
98 01 03 18 999 99.0 99.0  1.77 13.79  4.91 286 9999.0 999.0 999.0 999.0 99.0
98 01 03 19 999 99.0 99.0  1.82 14.81  4.86 304 9999.0 999.0 999.0 999.0 99.0
98 01 03 20 999 99.0 99.0  1.87  5.56  5.03 202 9999.0 999.0 999.0 999.0 99.0
98 01 03 21 999 99.0 99.0 99.00 99.00 99.00 202 9999.0 999.0 999.0 999.0 99.0
98 01 03 22 999 99.0 99.0  2.08  7.69  5.28 207 9999.0 999.0 999.0 999.0 99.0
98 01 03 23 999 99.0 99.0  2.43  7.69  5.89 211 9999.0 999.0 999.0 999.0 99.0
98 01 04 00 999 99.0 99.0  2.48  7.14  5.72 202 9999.0 999.0 999.0 999.0 99.0
98 01 04 01 999 99.0 99.0  2.62  7.69  5.94 195 9999.0 999.0 999.0 999.0 99.0
98 01 04 02 999 99.0 99.0  2.50  8.33  5.96 201 9999.0 999.0 999.0 999.0 99.0
98 01 04 03 999 99.0 99.0  2.28  7.69  6.01 198 9999.0 999.0 999.0 999.0 99.0
98 01 04 04 999 99.0 99.0  2.20  8.33  5.99 194 9999.0 999.0 999.0 999.0 99.0
98 01 04 05 999 99.0 99.0  2.22  9.09  5.97 211 9999.0 999.0 999.0 999.0 99.0
98 01 04 06 999 99.0 99.0  2.14  9.09  6.03 212 9999.0 999.0 999.0 999.0 99.0
98 01 04 07 999 99.0 99.0  2.29  8.33  5.65 209 9999.0 999.0 999.0 999.0 99.0
98 01 04 08 999 99.0 99.0  2.21  9.09  5.49 209 9999.0 999.0 999.0 999.0 99.0
98 01 04 09 999 99.0 99.0  2.36  8.33  5.82 212 9999.0 999.0 999.0 999.0 99.0
98 01 04 10 999 99.0 99.0  2.27  9.09  5.44 207 9999.0 999.0 999.0 999.0 99.0
98 01 04 11 999 99.0 99.0  2.43  7.69  6.03 214 9999.0 999.0 999.0 999.0 99.0
98 01 04 12 999 99.0 99.0  2.30  7.69  6.30 222 9999.0 999.0 999.0 999.0 99.0
98 01 04 13 999 99.0 99.0  2.32  8.33  6.14 217 9999.0 999.0 999.0 999.0 99.0
98 01 04 14 999 99.0 99.0  2.53  8.33  5.91 208 9999.0 999.0 999.0 999.0 99.0
98 01 04 15 999 99.0 99.0  2.51  8.33  6.30 216 9999.0 999.0 999.0 999.0 99.0
98 01 04 16 999 99.0 99.0  2.39 12.90  6.35 300 9999.0 999.0 999.0 999.0 99.0
98 01 04 17 999 99.0 99.0  2.67 12.90  6.52 285 9999.0 999.0 999.0 999.0 99.0
98 01 04 18 999 99.0 99.0  2.74 12.12  6.47 285 9999.0 999.0 999.0 999.0 99.0
98 01 04 19 999 99.0 99.0  2.65 12.90  6.69 289 9999.0 999.0 999.0 999.0 99.0
98 01 04 20 999 99.0 99.0  2.73 12.90  6.47 291 9999.0 999.0 999.0 999.0 99.0
98 01 04 21 999 99.0 99.0  2.55 12.90  6.56 292 9999.0 999.0 999.0 999.0 99.0
98 01 04 22 999 99.0 99.0  2.66 12.90  7.12 291 9999.0 999.0 999.0 999.0 99.0
98 01 04 23 999 99.0 99.0  2.64 12.12  7.36 288 9999.0 999.0 999.0 999.0 99.0
98 01 05 00 999 99.0 99.0  2.48 12.12  7.28 300 9999.0 999.0 999.0 999.0 99.0
98 01 05 01 999 99.0 99.0  2.56 12.12  7.54 294 9999.0 999.0 999.0 999.0 99.0
98 01 05 02 999 99.0 99.0  2.40 12.12  7.27 297 9999.0 999.0 999.0 999.0 99.0
98 01 05 03 999 99.0 99.0  2.49 12.12  7.36 298 9999.0 999.0 999.0 999.0 99.0
98 01 05 04 999 99.0 99.0  2.48 12.12  7.13 293 9999.0 999.0 999.0 999.0 99.0
98 01 05 05 999 99.0 99.0  2.50 12.12  7.11 289 9999.0 999.0 999.0 999.0 99.0
98 01 05 06 999 99.0 99.0  2.61 12.12  6.19 291 9999.0 999.0 999.0 999.0 99.0
98 01 05 07 999 99.0 99.0  2.71 12.12  5.85 299 9999.0 999.0 999.0 999.0 99.0
98 01 05 08 999 99.0 99.0  3.24 11.43  6.20 281 9999.0 999.0 999.0 999.0 99.0
98 01 05 09 999 99.0 99.0  3.31 10.81  6.09 281 9999.0 999.0 999.0 999.0 99.0
98 01 05 10 999 99.0 99.0  3.15  7.14  6.06 247 9999.0 999.0 999.0 999.0 99.0
98 01 05 11 999 99.0 99.0  3.32  7.14  6.15 246 9999.0 999.0 999.0 999.0 99.0
98 01 05 12 999 99.0 99.0  3.77  7.69  6.50 249 9999.0 999.0 999.0 999.0 99.0
98 01 05 13 999 99.0 99.0  4.05  8.33  6.73 249 9999.0 999.0 999.0 999.0 99.0
98 01 05 14 999 99.0 99.0  3.70  8.33  6.59 251 9999.0 999.0 999.0 999.0 99.0
98 01 05 15 999 99.0 99.0  3.71  7.69  6.76 259 9999.0 999.0 999.0 999.0 99.0
98 01 05 16 999 99.0 99.0  4.17  7.69  7.14 254 9999.0 999.0 999.0 999.0 99.0
98 01 05 17 999 99.0 99.0  4.26 10.00  7.22 287 9999.0 999.0 999.0 999.0 99.0
98 01 05 18 999 99.0 99.0  4.37  9.09  7.38 275 9999.0 999.0 999.0 999.0 99.0
98 01 05 19 999 99.0 99.0  4.66 10.00  7.68 286 9999.0 999.0 999.0 999.0 99.0
98 01 05 20 999 99.0 99.0  4.18 12.12  7.51 295 9999.0 999.0 999.0 999.0 99.0
98 01 05 21 999 99.0 99.0  4.00 11.43  7.36 291 9999.0 999.0 999.0 999.0 99.0
98 01 05 22 999 99.0 99.0  4.20 12.12  7.29 286 9999.0 999.0 999.0 999.0 99.0
98 01 05 23 999 99.0 99.0  4.04 10.81  7.20 296 9999.0 999.0 999.0 999.0 99.0
98 01 06 00 999 99.0 99.0  4.35 10.00  7.43 279 9999.0 999.0 999.0 999.0 99.0
98 01 06 01 999 99.0 99.0  4.23 11.43  7.45 290 9999.0 999.0 999.0 999.0 99.0
98 01 06 02 999 99.0 99.0  4.09 12.12  7.53 297 9999.0 999.0 999.0 999.0 99.0
98 01 06 03 999 99.0 99.0  4.22 11.43  7.48 303 9999.0 999.0 999.0 999.0 99.0
98 01 06 04 999 99.0 99.0  4.20 12.90  7.44 308 9999.0 999.0 999.0 999.0 99.0
98 01 06 05 999 99.0 99.0  4.09 12.12  7.64 299 9999.0 999.0 999.0 999.0 99.0
98 01 06 06 999 99.0 99.0  4.37 13.79  7.42 309 9999.0 999.0 999.0 999.0 99.0
98 01 06 07 999 99.0 99.0  4.25 12.90  7.22 310 9999.0 999.0 999.0 999.0 99.0
98 01 06 08 999 99.0 99.0  4.09 12.12  7.33 299 9999.0 999.0 999.0 999.0 99.0
98 01 06 09 999 99.0 99.0  4.05 13.79  7.19 308 9999.0 999.0 999.0 999.0 99.0
98 01 06 10 999 99.0 99.0  3.83 11.43  6.99 304 9999.0 999.0 999.0 999.0 99.0
98 01 06 11 999 99.0 99.0  3.87 10.00  7.03 300 9999.0 999.0 999.0 999.0 99.0
98 01 06 12 999 99.0 99.0  3.86 12.90  6.98 309 9999.0 999.0 999.0 999.0 99.0
98 01 06 13 999 99.0 99.0  3.74 11.43  7.14 303 9999.0 999.0 999.0 999.0 99.0
98 01 06 14 999 99.0 99.0 99.00 99.00 99.00 306 9999.0 999.0 999.0 999.0 99.0
98 01 06 15 999 99.0 99.0  3.75 12.12  6.94 303 9999.0 999.0 999.0 999.0 99.0
98 01 06 16 999 99.0 99.0  3.78 12.12  7.09 310 9999.0 999.0 999.0 999.0 99.0
98 01 06 17 999 99.0 99.0 99.00 99.00 99.00 299 9999.0 999.0 999.0 999.0 99.0
98 01 06 18 999 99.0 99.0  3.57 11.43  7.06 305 9999.0 999.0 999.0 999.0 99.0
98 01 06 19 999 99.0 99.0  3.43  7.14  6.78 220 9999.0 999.0 999.0 999.0 99.0
98 01 06 20 999 99.0 99.0  3.64  7.69  6.43 198 9999.0 999.0 999.0 999.0 99.0
98 01 06 21 999 99.0 99.0  3.65 11.43  6.53 306 9999.0 999.0 999.0 999.0 99.0
98 01 06 22 999 99.0 99.0  3.49  7.69  6.36 202 9999.0 999.0 999.0 999.0 99.0
98 01 06 23 999 99.0 99.0  3.53  7.69  6.65 225 9999.0 999.0 999.0 999.0 99.0
98 01 07 00 999 99.0 99.0  3.10 11.43  6.39 305 9999.0 999.0 999.0 999.0 99.0
98 01 07 01 999 99.0 99.0  3.04 10.81  6.58 302 9999.0 999.0 999.0 999.0 99.0
98 01 07 02 999 99.0 99.0  2.90  8.33  7.02 240 9999.0 999.0 999.0 999.0 99.0
98 01 07 03 999 99.0 99.0  2.91 10.00  7.51 274 9999.0 999.0 999.0 999.0 99.0
98 01 07 04 999 99.0 99.0  2.62  9.09  7.11 241 9999.0 999.0 999.0 999.0 99.0
98 01 07 05 999 99.0 99.0  2.83 10.81  7.43 241 9999.0 999.0 999.0 999.0 99.0
98 01 07 06 999 99.0 99.0  3.36 11.43  7.98 217 9999.0 999.0 999.0 999.0 99.0
98 01 07 07 999 99.0 99.0  3.46 12.12  8.39 199 9999.0 999.0 999.0 999.0 99.0
98 01 07 08 999 99.0 99.0  3.47 11.43  8.01 204 9999.0 999.0 999.0 999.0 99.0
98 01 07 09 999 99.0 99.0  3.37 11.43  8.16 222 9999.0 999.0 999.0 999.0 99.0
98 01 07 10 999 99.0 99.0  3.32 12.12  7.50 206 9999.0 999.0 999.0 999.0 99.0
98 01 07 11 999 99.0 99.0  3.01 10.81  7.50 233 9999.0 999.0 999.0 999.0 99.0
98 01 07 12 999 99.0 99.0  3.06 12.12  7.47 208 9999.0 999.0 999.0 999.0 99.0
98 01 07 13 999 99.0 99.0  3.26 10.00  7.82 232 9999.0 999.0 999.0 999.0 99.0
98 01 07 14 999 99.0 99.0  3.33 11.43  7.67 221 9999.0 999.0 999.0 999.0 99.0
98 01 07 15 999 99.0 99.0  3.23 10.81  7.62 231 9999.0 999.0 999.0 999.0 99.0
98 01 07 16 999 99.0 99.0  3.03 11.43  7.18 230 9999.0 999.0 999.0 999.0 99.0
98 01 07 17 999 99.0 99.0  2.96 10.00  6.94 248 9999.0 999.0 999.0 999.0 99.0
98 01 07 18 999 99.0 99.0  2.87 10.81  7.04 220 9999.0 999.0 999.0 999.0 99.0
98 01 07 19 999 99.0 99.0  2.96 10.81  7.13 214 9999.0 999.0 999.0 999.0 99.0
98 01 07 20 999 99.0 99.0  2.74 10.81  6.65 219 9999.0 999.0 999.0 999.0 99.0
98 01 07 21 999 99.0 99.0  2.70 10.81  7.21 232 9999.0 999.0 999.0 999.0 99.0
98 01 07 22 999 99.0 99.0  2.44 10.00  7.27 231 9999.0 999.0 999.0 999.0 99.0
98 01 07 23 999 99.0 99.0  2.41 10.81  6.98 242 9999.0 999.0 999.0 999.0 99.0
98 01 08 00 999 99.0 99.0  2.37 10.00  6.99 234 9999.0 999.0 999.0 999.0 99.0
98 01 08 01 999 99.0 99.0  2.34 10.00  7.26 227 9999.0 999.0 999.0 999.0 99.0
98 01 08 02 999 99.0 99.0  2.40 10.00  7.06 234 9999.0 999.0 999.0 999.0 99.0
98 01 08 03 999 99.0 99.0  2.23 10.00  6.54 233 9999.0 999.0 999.0 999.0 99.0
98 01 08 04 999 99.0 99.0  2.14 10.00  6.53 238 9999.0 999.0 999.0 999.0 99.0
98 01 08 05 999 99.0 99.0  2.00 10.00  6.19 260 9999.0 999.0 999.0 999.0 99.0
98 01 08 06 999 99.0 99.0  2.03  9.09  6.40 237 9999.0 999.0 999.0 999.0 99.0
98 01 08 07 999 99.0 99.0  1.97 10.00  6.49 238 9999.0 999.0 999.0 999.0 99.0
98 01 08 08 999 99.0 99.0  1.91  9.09  6.55 251 9999.0 999.0 999.0 999.0 99.0
98 01 08 09 999 99.0 99.0  1.96 10.00  7.09 236 9999.0 999.0 999.0 999.0 99.0
98 01 08 10 999 99.0 99.0 99.00 99.00 99.00 240 9999.0 999.0 999.0 999.0 99.0
98 01 08 11 999 99.0 99.0 99.00 99.00 99.00 237 9999.0 999.0 999.0 999.0 99.0
98 01 08 12 999 99.0 99.0  1.89  9.09  7.25 235 9999.0 999.0 999.0 999.0 99.0
98 01 08 13 999 99.0 99.0  1.90  9.09  7.12 257 9999.0 999.0 999.0 999.0 99.0
98 01 08 14 999 99.0 99.0  1.95 10.00  7.34 241 9999.0 999.0 999.0 999.0 99.0
98 01 08 15 999 99.0 99.0  1.87  9.09  7.04 251 9999.0 999.0 999.0 999.0 99.0
98 01 08 16 999 99.0 99.0  1.81  8.33  6.99 287 9999.0 999.0 999.0 999.0 99.0
98 01 08 17 999 99.0 99.0  1.74  9.09  6.70 240 9999.0 999.0 999.0 999.0 99.0
98 01 08 18 999 99.0 99.0  1.69 12.12  6.86 261 9999.0 999.0 999.0 999.0 99.0
98 01 08 19 999 99.0 99.0  1.73  9.09  6.74 241 9999.0 999.0 999.0 999.0 99.0
98 01 08 20 999 99.0 99.0  1.70  9.09  6.69 254 9999.0 999.0 999.0 999.0 99.0
98 01 08 21 999 99.0 99.0  1.58  9.09  6.72 238 9999.0 999.0 999.0 999.0 99.0
98 01 08 22 999 99.0 99.0  1.60 10.00  6.77 247 9999.0 999.0 999.0 999.0 99.0
98 01 08 23 999 99.0 99.0  1.50 14.81  6.56 269 9999.0 999.0 999.0 999.0 99.0
98 01 09 00 999 99.0 99.0  1.40  9.09  5.94 235 9999.0 999.0 999.0 999.0 99.0
98 01 09 01 999 99.0 99.0  1.46  9.09  6.37 240 9999.0 999.0 999.0 999.0 99.0
98 01 09 02 999 99.0 99.0  1.36  9.09  6.00 243 9999.0 999.0 999.0 999.0 99.0
98 01 09 03 999 99.0 99.0  1.34  8.33  5.22 287 9999.0 999.0 999.0 999.0 99.0
98 01 09 04 999 99.0 99.0  1.30  8.33  4.89 249 9999.0 999.0 999.0 999.0 99.0
98 01 09 05 999 99.0 99.0  1.20  8.33  5.00 267 9999.0 999.0 999.0 999.0 99.0
98 01 09 06 999 99.0 99.0  1.33 13.79  4.64 271 9999.0 999.0 999.0 999.0 99.0
98 01 09 07 999 99.0 99.0  1.33  8.33  4.74 251 9999.0 999.0 999.0 999.0 99.0
98 01 09 08 999 99.0 99.0  1.32  8.33  4.77 282 9999.0 999.0 999.0 999.0 99.0
98 01 09 09 999 99.0 99.0  1.31  7.69  4.63 300 9999.0 999.0 999.0 999.0 99.0
98 01 09 10 999 99.0 99.0  1.23  3.70  4.25  85 9999.0 999.0 999.0 999.0 99.0
98 01 09 11 999 99.0 99.0  1.25 19.05  4.56 300 9999.0 999.0 999.0 999.0 99.0
98 01 09 12 999 99.0 99.0  1.24 19.05  4.58 279 9999.0 999.0 999.0 999.0 99.0
98 01 09 13 999 99.0 99.0  1.22 19.05  4.46 278 9999.0 999.0 999.0 999.0 99.0
98 01 09 14 999 99.0 99.0 99.00 99.00 99.00 287 9999.0 999.0 999.0 999.0 99.0
98 01 09 15 999 99.0 99.0  1.15 19.05  4.60 286 9999.0 999.0 999.0 999.0 99.0
98 01 09 16 999 99.0 99.0  1.21 19.05  4.77 288 9999.0 999.0 999.0 999.0 99.0
98 01 09 17 999 99.0 99.0  1.24 19.05  5.02 292 9999.0 999.0 999.0 999.0 99.0
98 01 09 18 999 99.0 99.0  1.23 19.05  5.01 280 9999.0 999.0 999.0 999.0 99.0
98 01 09 19 999 99.0 99.0  1.30 19.05  5.06 273 9999.0 999.0 999.0 999.0 99.0
98 01 09 20 999 99.0 99.0  1.23 17.39  5.10 288 9999.0 999.0 999.0 999.0 99.0
98 01 09 21 999 99.0 99.0  1.25 17.39  5.42 281 9999.0 999.0 999.0 999.0 99.0
98 01 09 22 999 99.0 99.0  1.25 19.05  5.24 276 9999.0 999.0 999.0 999.0 99.0
98 01 09 23 999 99.0 99.0  1.40 17.39  6.09 284 9999.0 999.0 999.0 999.0 99.0
98 01 10 00 999 99.0 99.0  1.48 17.39  6.24 279 9999.0 999.0 999.0 999.0 99.0
98 01 10 01 999 99.0 99.0  1.57 17.39  6.58 282 9999.0 999.0 999.0 999.0 99.0
98 01 10 02 999 99.0 99.0  1.64 12.90  6.95 239 9999.0 999.0 999.0 999.0 99.0
98 01 10 03 999 99.0 99.0  1.72 12.90  8.34 229 9999.0 999.0 999.0 999.0 99.0
98 01 10 04 999 99.0 99.0  1.88 11.43 10.00 229 9999.0 999.0 999.0 999.0 99.0
98 01 10 05 999 99.0 99.0  1.96 10.81  9.43 227 9999.0 999.0 999.0 999.0 99.0
98 01 10 06 999 99.0 99.0  2.05 12.12  9.30 235 9999.0 999.0 999.0 999.0 99.0
98 01 10 07 999 99.0 99.0  1.93 11.43  8.84 232 9999.0 999.0 999.0 999.0 99.0
98 01 10 08 999 99.0 99.0  1.85 11.43  8.45 238 9999.0 999.0 999.0 999.0 99.0
98 01 10 09 999 99.0 99.0  1.96 10.81  8.32 231 9999.0 999.0 999.0 999.0 99.0
98 01 10 10 999 99.0 99.0  1.99 11.43  8.01 237 9999.0 999.0 999.0 999.0 99.0
98 01 10 11 999 99.0 99.0  2.03 12.12  8.72 235 9999.0 999.0 999.0 999.0 99.0
98 01 10 12 999 99.0 99.0  1.98 11.43  8.31 230 9999.0 999.0 999.0 999.0 99.0
98 01 10 13 999 99.0 99.0  2.15 11.43  9.23 235 9999.0 999.0 999.0 999.0 99.0
98 01 10 14 999 99.0 99.0  2.18 11.43  8.88 240 9999.0 999.0 999.0 999.0 99.0
