#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 05 02 50  60  0.8  1.9  2.90 10.81  7.67 283 1028.9   7.4   8.3   3.3 99.0 99.00
2008 03 05 03 50 355  1.4  2.0  3.21 10.81  7.94 288 1028.8   7.5   8.2   2.9 99.0 99.00
2008 03 05 04 50  18  0.8  1.4  2.89 12.90  8.03 290 1029.0   7.4   8.2   2.4 99.0 99.00
2008 03 05 05 50   9  1.2  1.7  2.92 13.79  8.12 295 1028.8   7.4   8.2   1.0 99.0 99.00
2008 03 05 06 50 341  1.7  2.8  2.73 13.79  8.06 301 1029.2   7.4   8.2   0.8 99.0 99.00
2008 03 05 07 50  40  2.1  2.7  2.87 13.79  8.06 299 1029.1   7.3   8.2   2.6 99.0 99.00
2008 03 05 08 50  51  3.3  4.1  2.60 13.79  8.14 291 1028.6   7.2   8.2   3.5 99.0 99.00
2008 03 05 09 50  68  3.7  5.1  2.80 10.81  8.28 285 1028.3   7.0   8.2   4.3 99.0 99.00
2008 03 05 10 50  79  4.3  5.4  2.67 14.81  8.40 287 1027.9   6.5   8.2   4.4 99.0 99.00
2008 03 05 11 50  72  4.3  5.4  2.45 12.12  7.94 286 1027.5   6.2   8.2   4.1 99.0 99.00
2008 03 05 12 50  65  3.6  4.4  2.20 13.79  8.02 292 1027.9   5.8   8.2   4.5 99.0 99.00
2008 03 05 13 50  68  4.0  4.9  2.12 12.90  7.66 294 1027.7   6.1   8.2   4.4 99.0 99.00
2008 03 05 14 50  48  4.3  5.1  2.16 12.90  8.09 292 1027.7   6.5   8.1   3.1 99.0 99.00
2008 03 05 15 50  50  4.2  5.0  1.94 13.79  8.22 291 1027.8   6.7   8.1   3.9 99.0 99.00
2008 03 05 16 50  53  6.6  7.9  1.87 13.79  7.60 288 1027.2   6.7   7.9   3.7 99.0 99.00
2008 03 05 17 50  73  5.5  6.5  1.97 13.79  7.46 294 1027.0   6.4   8.0   4.3 99.0 99.00
2008 03 05 18 50  63  4.9  5.9  1.85 12.90  7.38 286 1026.8   6.3   8.1   3.9 99.0 99.00
2008 03 05 19 50  67  5.7  6.9  1.81 12.12  7.42 293 1026.0   6.4   8.2   3.8 99.0 99.00
2008 03 05 20 50  51  5.6  6.3  1.81 12.12  7.19 293 1025.6   6.8   8.4   3.7 99.0 99.00
2008 03 05 21 50  52  3.2  3.9  1.69 12.90  7.12 290 1024.8   7.7   8.5   4.6 99.0 99.00
2008 03 05 22 50  25  3.6  4.0  1.66 12.90  7.04 292 1024.4   8.7   8.6   5.1 99.0 99.00
2008 03 05 23 50  11  3.4  3.8  1.49 12.90  6.88 300 1024.1   9.1   8.7   6.7 99.0 99.00
2008 03 06 00 50 356  3.3  3.8  1.50 11.43  7.03 301 1023.9   9.1   8.7   7.0 99.0 99.00
2008 03 06 01 50  32  4.2  4.8  1.41 12.12  7.49 296 1023.5   9.6   8.7   6.5 99.0 99.00
2008 03 06 02 50  33  4.8  5.8  1.28 13.79  6.68 279 1023.3   9.2   8.7   6.8 99.0 99.00
2008 03 06 03 50  34  3.8  4.5  1.23 17.39  6.54 269 1022.9   9.4   8.7   6.8 99.0 99.00
2008 03 06 04 50  65  4.5  5.3  1.25 17.39  6.85 284 1022.3   9.2   8.7   6.6 99.0 99.00
2008 03 06 05 50  91  5.8  7.1  1.34 17.39  8.26 281 1021.8   9.4   8.7   5.5 99.0 99.00
2008 03 06 06 50 103  4.2  4.9  1.36 17.39  7.65 281 1021.8   9.0   8.6   5.7 99.0 99.00
2008 03 06 07 50 101  4.5  5.5  1.30 17.39  7.72 276 1021.4   8.5   8.5   5.8 99.0 99.00
2008 03 06 08 50 104  5.8  6.9  1.40 16.00  7.97 278 1020.7   8.3   8.5   5.8 99.0 99.00
2008 03 06 09 50 227  2.4  3.2  1.46 16.00  7.72 281 1022.4   8.5   8.5   6.3 99.0 99.00
2008 03 06 10 50  80  0.4  1.0  1.45 16.00  7.92 283 1022.2   8.2   8.5   6.8 99.0 99.00
2008 03 06 11 50 110  3.7  4.6  1.49 16.00  8.47 279 1022.1   8.2   8.3   6.8 99.0 99.00
2008 03 06 12 50 136  3.5  4.5  1.48 16.00  8.67 277 1022.8   8.4   8.4   6.8 99.0 99.00
2008 03 06 13 50 165  5.9  7.2  1.37 16.00  8.89 281 1022.8   8.6   8.4   5.4 99.0 99.00
2008 03 06 14 50 210  4.8  5.6  1.42 16.00  8.65 280 1023.7   8.4   8.5   7.0 99.0 99.00
2008 03 06 15 50 215  3.9  4.9  1.52 14.81  9.06 277 1023.7   8.3   8.4   6.9 99.0 99.00
2008 03 06 16 50 146  3.4  4.3  1.47 14.81  9.09 281 1023.6   8.1   8.5   6.7 99.0 99.00
2008 03 06 17 50 174  4.7  5.5 99.00 99.00 99.00 999 1024.3   8.3   8.5   7.2 99.0 99.00
2008 03 06 18 50 183  5.2  6.1  1.43 14.81  9.37 279 1024.6   8.5   8.5   7.4 99.0 99.00
2008 03 06 19 50 207  6.7  7.9  1.42 14.81  7.68 283 1025.0   8.5   8.6   7.2 99.0 99.00
2008 03 06 20 50 204  6.2  7.5  1.60 14.81  7.92 277 1025.2   8.4   8.7   7.0 99.0 99.00
2008 03 06 21 50 202  6.3  7.1  1.71 14.81  7.68 273 1025.4   8.6   8.7   7.1 99.0 99.00
2008 03 06 22 50 194  5.5  6.8  1.57 14.81  7.13 274 1025.5   8.7   8.7   7.4 99.0 99.00
2008 03 06 23 50 180  5.9  7.1  1.93 14.81  8.00 275 1025.6   8.7   8.7   7.6 99.0 99.00
2008 03 07 00 50 183  5.8  6.9  1.93 14.81  7.71 277 1025.6   8.7   8.7   8.0 99.0 99.00
2008 03 07 01 50 195  4.7  5.6  1.85 14.81  7.15 278 1025.9   8.7   8.6   8.2 99.0 99.00
2008 03 07 02 50 190  4.9  5.8  1.94 14.81  7.37 269 1025.9   8.6   8.6   8.2 99.0 99.00
2008 03 07 03 50 185  4.9  6.2  1.92 14.81  7.62 278 1025.9   8.6   8.6   8.1 99.0 99.00
2008 03 07 04 50 177  4.5  5.9  1.93 12.90  7.90 279 1025.6   8.5   8.7   8.1 99.0 99.00
2008 03 07 05 50 188  3.9  5.2  2.02 12.12  8.34 279 1025.6   8.6   8.7   7.9 99.0 99.00
2008 03 07 06 50 185  3.7  4.6  1.91 13.79  7.99 284 1025.4   8.5   8.7   8.1 99.0 99.00
2008 03 07 07 50 208  3.6  4.2  1.88 13.79  8.34 281 1025.5   8.4   8.7   7.9 99.0 99.00
2008 03 07 08 50 186  3.1  4.2  1.98 13.79  8.56 279 1025.1   8.4   8.6   7.9 99.0 99.00
2008 03 07 09 50 178  2.5  3.1  1.96 13.79  8.36 287 1025.2   8.5   8.6   8.0 99.0 99.00
2008 03 07 10 50 158  3.6  4.5  1.96 13.79  8.58 288 1024.9   8.5   8.6   8.0 99.0 99.00
2008 03 07 11 50 152  5.1  5.9  2.00 13.79  9.24 275 1024.1   8.4   8.6   8.0 99.0 99.00
2008 03 07 12 50 161  4.7  5.7  2.06 13.79  9.13 276 1024.2   8.4   8.6   7.8 99.0 99.00
2008 03 07 13 50 144  4.5  5.5  1.97 13.79  8.77 280 1023.2   8.4   8.6   7.4 99.0 99.00
2008 03 07 14 50 151  5.0  6.0  2.01 12.90  8.55 285 1022.8   8.5   8.6   7.2 99.0 99.00
2008 03 07 15 50 169  4.7  5.7  2.01 12.90  8.61 286 1023.0   8.5   8.6   7.0 99.0 99.00
2008 03 07 16 50 160  6.0  7.3  1.95 12.12  8.10 279 1022.2   8.3   8.5   7.0 99.0 99.00
2008 03 07 17 50 176  5.5  6.2  1.96 12.90  7.85 288 1022.2   8.1   8.5   6.8 99.0 99.00
2008 03 07 18 50 157  5.7  6.7  2.02 12.90  8.05 277 1021.6   8.1   8.5   7.0 99.0 99.00
2008 03 07 19 50 158  7.0  8.1  2.03 12.90  7.74 282 1020.9   8.3   8.5   7.2 99.0 99.00
2008 03 07 20 50 177  8.7 11.0  1.93 12.90  6.69 271 1020.4   8.3   8.6   7.2 99.0 99.00
2008 03 07 21 50 175  8.5 10.2  1.89 12.90  5.78 275 1019.6   8.4   8.6   7.4 99.0 99.00
2008 03 07 22 50 192  8.8 10.6  1.96 12.90  5.72 278 1020.0   8.5   8.7   7.8 99.0 99.00
2008 03 07 23 50 158 11.8 14.0  1.92 12.90  5.48 279 1017.9   8.5   8.7   7.9 99.0 99.00
2008 03 08 00 50 195 10.3 12.2  2.11 12.90  5.45 277 1019.3   8.6   8.7   8.0 99.0 99.00
2008 03 08 01 50 189  7.0  8.0  2.09 12.90  5.67 267 1019.2   8.6   8.7   8.1 99.0 99.00
2008 03 08 02 50 189  7.1  8.8  1.91 11.43  5.75 265 1019.3   8.7   8.7   8.2 99.0 99.00
2008 03 08 03 50 202  7.1  8.7  1.87  7.14  5.87 241 1019.6   8.7   8.6   8.2 99.0 99.00
2008 03 08 04 50 222  5.7  6.7  1.83  7.69  6.01 250 1020.0   8.7   8.6   8.2 99.0 99.00
2008 03 08 05 50 304  7.7  9.7  2.06 12.90  6.26 272 1020.3   8.1   8.7   7.6 99.0 99.00
2008 03 08 06 50 324  7.5  8.8  1.85 12.12  5.98 275 1021.0   7.6   8.6   7.0 99.0 99.00
2008 03 08 07 50 313  8.1  9.8  2.05 11.43  6.42 284 1021.9   7.8   8.6   5.9 99.0 99.00
2008 03 08 08 50 315  8.8 10.4  2.17 11.43  6.92 271 1022.5   8.0   8.6   5.2 99.0 99.00
2008 03 08 09 50 327  7.2  8.6  2.11 12.12  6.76 278 1023.5   8.1   8.6   4.4 99.0 99.00
2008 03 08 10 50 326  7.5 10.2  2.31 11.43  6.80 268 1023.8   7.9   8.6   3.9 99.0 99.00
2008 03 08 12 50 310  7.0  9.3  2.50 12.90  7.18 273 1025.6   7.8   8.5   3.3 99.0 99.00
2008 03 08 13 50 312  6.5  7.7  2.77 11.43  7.46 276 1026.0   7.9   8.4   3.3 99.0 99.00
2008 03 08 14 50 336  5.6  7.0  2.85 12.90  7.73 278 1026.3   7.9   8.4   3.2 99.0 99.00
2008 03 08 15 50 311  3.8  5.9  2.78 12.12  7.65 276 1026.8   7.8   8.4   2.6 99.0 99.00
2008 03 08 16 50 326  3.3  4.5  2.89 12.12  7.89 269 1027.1   7.8   8.4   2.9 99.0 99.00
2008 03 08 17 50 278  1.4  2.6  2.91 13.79  8.13 282 1027.8   7.9   8.2   2.9 99.0 99.00
2008 03 08 18 50 282  0.6  1.3  3.10 12.90  8.48 271 1027.7   7.9   8.3   2.5 99.0 99.00
2008 03 08 19 50 142  0.7  1.4  3.17 12.90  8.72 270 1027.6   8.3   8.4   3.1 99.0 99.00
2008 03 08 20 50 150  1.3  2.2  3.11 12.90  8.90 272 1027.2   8.6   8.7   3.3 99.0 99.00
2008 03 08 21 50 159  2.4  3.1  2.92 12.90  8.49 273 1026.9   8.3   9.0   3.5 99.0 99.00
2008 03 08 22 50 179  2.7  3.7  3.09 12.90  8.97 275 1026.8   8.2   9.3   3.4 99.0 99.00
2008 03 08 23 50 166  2.8  3.5  2.98 12.90  9.10 279 1026.2   8.2   8.9   2.8 99.0 99.00
2008 03 09 00 50 177  0.6  1.7  2.85 12.12  8.76 278 1025.8   8.4   8.8   2.1 99.0 99.00
2008 03 09 01 50  83  0.2  1.1  3.09 12.90  9.15 272 1025.4   8.0   8.7   2.3 99.0 99.00
2008 03 09 02 50  87  2.2  3.7  3.05 12.90  9.58 269 1024.4   7.9   8.6   2.1 99.0 99.00
2008 03 09 03 50  85  3.5  4.9  2.90 13.79  9.79 267 1023.8   7.9   8.6   2.8 99.0 99.00
2008 03 09 04 50  79  4.6  5.8  2.94 12.12 10.02 266 1023.7   7.9   8.6   2.8 99.0 99.00
2008 03 09 05 50  74  3.5  5.0  2.79 12.12  9.48 263 1023.4   7.8   8.5   3.4 99.0 99.00
2008 03 09 06 50  91  4.1  5.3  2.70 12.12  9.20 276 1022.8   7.7   8.4   4.3 99.0 99.00
2008 03 09 07 50 109  5.5  7.0  2.67 12.90  9.54 266 1021.7   7.5   8.5   5.2 99.0 99.00
2008 03 09 08 50 122  4.6  6.1  2.64 12.90  9.38 267 1021.8   7.9   8.5   5.8 99.0 99.00
2008 03 09 09 50 122  4.9  6.0  2.27 12.12  8.99 267 1021.5   8.0   8.4   6.4 99.0 99.00
2008 03 09 10 50 126  4.7  5.8  2.18 12.12  8.80 259 1020.9   7.9   8.3   6.5 99.0 99.00
2008 03 09 11 50 127  4.3  5.4  2.11 12.12  8.92 259 1021.0   7.9   8.3   6.4 99.0 99.00
2008 03 09 12 50 129  3.8  4.9  2.02 12.90  8.71 270 1021.7   7.9   8.4   6.5 99.0 99.00
2008 03 09 13 50 119  4.5  5.9  2.06 12.12  8.83 260 1021.4   8.0   8.4   6.1 99.0 99.00
2008 03 09 14 50 126  3.8  4.8  1.95 12.90  8.22 258 1021.9   8.2   8.3   6.1 99.0 99.00
2008 03 09 15 50 124  7.0  8.6  1.98 12.12  8.20 258 1021.1   8.1   8.4   6.3 99.0 99.00
2008 03 09 16 50 136  4.3  5.2  1.77 12.12  7.82 262 1022.3   8.4   8.3   6.3 99.0 99.00
2008 03 09 17 50 157  4.9  5.8  1.82 11.43  8.03 264 1022.2   8.7   8.4   6.6 99.0 99.00
2008 03 09 18 50 157  6.5  8.1  1.79 12.12  8.00 273 1021.6   9.0   8.6   7.1 99.0 99.00
2008 03 09 19 50 173  6.2  8.0  1.87 11.43  7.31 256 1022.0   9.3   8.7   6.8 99.0 99.00
2008 03 09 20 50 174  5.5  6.5  2.14 12.12  7.44 257 1021.6   9.3   8.8   6.9 99.0 99.00
2008 03 09 21 50 190  4.6  5.6  2.21 12.12  7.64 269 1021.5   9.4   8.9   7.0 99.0 99.00
2008 03 09 22 50 151  4.5  5.3  2.46 10.81  8.15 266 1021.2   9.3   8.9   7.1 99.0 99.00
2008 03 09 23 50 163  3.5  4.1  2.48 11.43  8.19 267 1021.0   9.3   8.9   7.2 99.0 99.00
2008 03 10 00 50 146  3.5  4.3  2.46 11.43  8.09 272 1020.8   9.2   8.8   7.0 99.0 99.00
2008 03 10 01 50 149  4.8  5.5  2.77 10.81  8.15 266 1020.4   9.4   8.8   6.2 99.0 99.00
2008 03 10 02 50 139  5.1  6.0  2.54 10.00  7.93 259 1020.0   9.3   8.8   6.6 99.0 99.00
2008 03 10 03 50 137  5.7  6.8  2.31 11.43  7.63 267 1019.7   9.3   8.8   6.3 99.0 99.00
2008 03 10 04 50 147  5.4  6.4  2.31 10.81  7.74 253 1019.2   9.4   8.8   5.5 99.0 99.00
2008 03 10 05 50 152  5.6  7.0  2.16 10.00  7.34 251 1018.7   9.5   8.8   4.8 99.0 99.00
2008 03 10 06 50 167  5.8  6.9  2.05 10.81  7.11 255 1018.3   9.8   8.8   5.5 99.0 99.00
2008 03 10 07 50 189  7.1  8.6  2.10 10.00  6.76 246 1017.9   9.4   8.7 999.0 99.0 99.00
2008 03 10 08 50 185  7.7  8.9  2.08 11.43  6.34 259 1017.7   9.6   8.7   7.8 99.0 99.00
2008 03 10 09 50 178  9.3 11.6  2.07 10.81  6.36 257 1017.4   9.9   8.7   8.7 99.0 99.00
2008 03 10 10 50 179  8.9 10.9  2.03 12.90  6.03 273 1016.9   9.7   8.7   8.3 99.0 99.00
2008 03 10 11 50 169  9.8 11.6  2.05 11.43  6.00 275 1016.1  10.0   8.7   8.3 99.0 99.00
2008 03 10 12 50 167  9.3 10.9  2.19 11.43  6.07 269 1016.0  10.1   8.7   8.5 99.0 99.00
