#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC   mi    ft
2004 01 03 03 00 316  7.7 11.1  2.85 12.50  7.87 288 1013.9   4.4  10.3 999.0 99.0 99.00
2004 01 03 04 00 202  1.6  2.7  2.49 12.50  7.71 281 1013.7   4.8  10.3 999.0 99.0 99.00
2004 01 03 05 00 270  5.7  8.2  2.57 12.50  7.65 290 1013.6   6.3  10.3 999.0 99.0 99.00
2004 01 03 06 00 274  6.8  8.9  2.56 12.50  7.39 288 1014.1   6.3  10.2 999.0 99.0 99.00
2004 01 03 07 00 297  8.2  9.9  2.52 12.50  7.15 292 1014.2   6.7  10.3 999.0 99.0 99.00
2004 01 03 08 00 290  8.8 10.9  2.59 12.50  7.05 284 1014.1   7.3  10.3 999.0 99.0 99.00
2004 01 03 09 00 293  8.8 12.1  2.55 12.50  6.75 295 1014.2   7.1  10.3 999.0 99.0 99.00
2004 01 03 10 00 291  7.2  9.3  2.63 12.50  6.93 289 1014.4   7.1  10.3 999.0 99.0 99.00
2004 01 03 11 00 274  5.3  7.8  2.54 12.50  6.85 285 1014.8   7.1  10.3 999.0 99.0 99.00
2004 01 03 12 00 268  5.7  7.8  2.87 10.00  7.18 281 1014.7   6.4  10.3 999.0 99.0 99.00
2004 01 03 13 00 244  5.6  7.0  2.91 10.00  6.94 281 1014.6   4.6  10.3 999.0 99.0 99.00
2004 01 03 14 00 278  7.9 10.2  2.75 11.11  7.09 291 1014.2   6.1  10.3 999.0 99.0 99.00
2004 01 03 15 00 297  6.9  8.9  2.99 12.50  7.00 282 1014.7   5.8  10.3 999.0 99.0 99.00
2004 01 03 16 00 309  4.4  6.2  2.97 11.11  7.07 281 1015.4   5.5  10.2 999.0 99.0 99.00
2004 01 03 17 00 278  8.4 10.7  2.93 11.11  6.70 287 1016.0   5.6  10.2 999.0 99.0 99.00
2004 01 03 18 00 292  9.6 12.8  3.04 12.50  6.98 283 1016.4   6.5  10.3 999.0 99.0 99.00
2004 01 03 19 00 282  9.6 12.0  3.22  9.09  6.69 290 1016.7   6.6  10.5 999.0 99.0 99.00
2004 01 03 20 00 291  9.3 11.7  3.14  7.14  6.64 314 1016.8   6.2  10.5 999.0 99.0 99.00
2004 01 03 21 00 295  9.2 11.4  2.94  8.33  6.55 283 1016.8   6.0  10.5 999.0 99.0 99.00
2004 01 03 22 00 288  9.9 12.8  2.94  9.09  6.63 289 1017.2   6.0  10.3 999.0 99.0 99.00
2004 01 03 23 00 284  8.7 10.7  3.22  9.09  6.92 281 1017.8   5.9  10.3 999.0 99.0 99.00
2004 01 04 00 00 281  8.7 11.3  3.02 10.00  6.52 287 1018.0   5.9  10.2 999.0 99.0 99.00
2004 01 04 01 00 278  9.4 11.5  3.12 10.00  6.84 284 1018.5   5.6  10.2 999.0 99.0 99.00
2004 01 04 02 00 272  7.8 10.6  2.93 11.11  6.64 281 1018.7   5.8  10.2 999.0 99.0 99.00
2004 01 04 03 00 274  6.9  9.4  3.11  8.33  6.90 278 1018.9   5.8  10.2 999.0 99.0 99.00
2004 01 04 04 00 276  7.5  9.7  3.12  9.09  7.08 287 1019.0   5.5   8.3 999.0 99.0 99.00
2004 01 04 05 00 283  8.3 11.3  3.56  9.09  6.95 282 1019.3   4.7   7.8 999.0 99.0 99.00
2004 01 04 06 00 284  9.1 11.1  3.11  9.09  6.97 279 1019.3   4.6   7.8 999.0 99.0 99.00
2004 01 04 07 00 229  7.7 10.9  3.33 10.00  7.16 286 1019.6   4.4   7.8 999.0 99.0 99.00
2004 01 04 08 00 242  8.4 10.8  3.10  8.33  6.82 285 1019.7   3.9   7.9 999.0 99.0 99.00
2004 01 04 09 00 328  7.0 11.4  2.81  9.09  6.58 290 1020.9   1.8   8.0 999.0 99.0 99.00
2004 01 04 10 00 346  3.7  5.4  2.73 10.00  6.74 284 1021.1   3.4   8.0 999.0 99.0 99.00
2004 01 04 11 00 356  1.8  2.9  2.39 10.00  6.77 282 1022.1   2.9   7.9 999.0 99.0 99.00
2004 01 04 12 00 349  2.1  3.9  2.19  9.09  6.70 278 1022.6   3.1   7.8 999.0 99.0 99.00
2004 01 04 13 00   2  4.4  5.8  2.24 11.11  7.02 279 1022.7   2.8   7.8 999.0 99.0 99.00
2004 01 04 14 00  16  4.4  5.6  2.20  9.09  7.13 281 1023.2   2.9   7.5 999.0 99.0 99.00
2004 01 04 15 00  41  4.1  5.6  2.06 11.11  7.59 275 1023.8   2.8   7.4 999.0 99.0 99.00
2004 01 04 16 00  58  4.8  6.5  2.15 10.00  7.60 285 1024.7   2.5   7.1 999.0 99.0 99.00
2004 01 04 17 00  56  4.4  5.7  2.09 14.29  7.94 288 1025.5   2.4   7.4 999.0 99.0 99.00
2004 01 04 18 00  55  4.6  6.2 99.00 99.00 99.00 999 1026.6   2.4   7.4 999.0 99.0 99.00
2004 01 04 19 00  51  4.7  6.1  1.94 14.29  7.35 283 1027.4   1.9   7.8 999.0 99.0 99.00
2004 01 04 20 00  59  5.4  7.6  1.98 14.29  7.53 283 1027.5   1.5   8.2 999.0 99.0 99.00
2004 01 04 21 00  62  5.2  6.8  1.95 14.29  6.85 288 1027.4   1.6   8.6 999.0 99.0 99.00
2004 01 04 22 00  56  6.5  8.4  1.97 14.29  7.09 292 1027.4   1.8   9.1 999.0 99.0 99.00
2004 01 04 23 00  61  8.0 10.3  1.97 12.50  6.61 283 1028.0   2.0   9.5 999.0 99.0 99.00
2004 01 05 00 00  70  8.6 10.4  1.94 12.50  5.99 281 1028.5   2.0   9.8 999.0 99.0 99.00
2004 01 05 01 00  66  8.2  9.9  1.87 12.50  5.85 285 1028.7   2.1  10.2 999.0 99.0 99.00
2004 01 05 02 00  75  7.8  9.6  1.82 14.29  5.54 286 1028.6   2.0  10.2 999.0 99.0 99.00
2004 01 05 03 00  78  8.2 10.0  1.73 14.29  5.83 278 1028.6   2.2  10.2 999.0 99.0 99.00
2004 01 05 04 00  81  8.3 10.0  1.61 14.29  5.66 281 1028.9   2.4   9.8 999.0 99.0 99.00
2004 01 05 05 00  85  8.8 10.8  1.65 14.29  5.69 292 1028.9   2.4   9.8 999.0 99.0 99.00
2004 01 05 06 00  83 10.5 12.1  1.61 12.50  5.17 264 1028.9   2.2   9.8 999.0 99.0 99.00
2004 01 05 07 00  83 10.9 13.0  1.67 14.29  5.31 289 1028.9   2.0   9.8 999.0 99.0 99.00
2004 01 05 08 00  90 10.1 11.9  1.67 14.29  5.19 295 1029.5   1.7   9.8 999.0 99.0 99.00
2004 01 05 09 00  91  9.7 11.6  1.66 14.29  5.23 277 1029.3   1.4   9.8 999.0 99.0 99.00
2004 01 05 10 00  84 10.0 11.5  1.77  5.26  5.18  61 1029.2   1.2   9.8 999.0 99.0 99.00
2004 01 05 11 00  83 10.0 11.9  1.59 12.50  5.17 294 1028.9   1.4   9.8 999.0 99.0 99.00
2004 01 05 12 00  83 10.0 11.8  1.64 12.50  5.21 294 1028.9   1.3   9.8 999.0 99.0 99.00
2004 01 05 13 00  86 10.0 11.7  1.79  5.56  5.10  66 1028.7   1.3   9.8 999.0 99.0 99.00
2004 01 05 14 00  84 10.6 12.9  1.71  5.26  4.96  65 1028.0   1.3   9.8 999.0 99.0 99.00
2004 01 05 15 00  87 10.9 13.6  1.84  5.56  5.10  64 1027.6   1.4   9.8 999.0 99.0 99.00
2004 01 05 16 00  84 10.8 12.4  1.67  5.56  4.93  64 1027.6   1.3   9.8 999.0 99.0 99.00
2004 01 05 17 00  86 11.4 13.2  1.78  5.56  4.90  64 1027.4   1.3   9.5 999.0 99.0 99.00
2004 01 05 18 00  89 10.7 12.9  1.78  5.88  4.92  66 1027.3   1.5   9.4 999.0 99.0 99.00
2004 01 05 19 00  90 10.6 12.9  1.85  5.88  4.91  62 1027.3   1.5   9.5 999.0 99.0 99.00
2004 01 05 20 00  84 10.4 12.3  1.71  5.56  4.87  62 1026.8   1.4   9.5 999.0 99.0 99.00
2004 01 05 21 00  84 11.1 13.4  1.70  5.56  4.72  69 1025.8   1.7   9.7 999.0 99.0 99.00
2004 01 05 22 00  84 11.4 13.9  1.83  5.56  4.74  73 1025.1   1.9   9.5 999.0 99.0 99.00
2004 01 05 23 00  87 11.4 13.3  1.73  5.88  4.69  64 1024.3   1.9   9.5 999.0 99.0 99.00
2004 01 06 00 00  87 11.8 14.3  1.75  5.26  4.69  77 1023.8   2.0   9.6 999.0 99.0 99.00
2004 01 06 01 00  87 12.0 14.7  1.81  5.56  4.69  77 1022.9   2.0   9.7 999.0 99.0 99.00
2004 01 06 02 00  89 11.9 14.3  1.78  5.88  4.70  68 1022.2   2.2   9.8 999.0 99.0 99.00
2004 01 06 03 00  89 11.5 13.8  1.91  5.88  4.71  70 1022.1   1.8   9.8 999.0 99.0 99.00
2004 01 06 04 00  90 11.8 14.0  1.81  5.56  4.70  67 1022.2   1.6   9.8 999.0 99.0 99.00
2004 01 06 05 00  94 11.9 14.2  1.84  5.88  4.72  82 1021.3   1.8   9.8 999.0 99.0 99.00
2004 01 06 06 00  91 13.1 15.4  1.78  5.88  4.62  90 1019.6   1.5   9.8 999.0 99.0 99.00
2004 01 06 07 00  94 11.8 14.6  2.16  5.56  4.91  99 1019.6   2.1   9.7 999.0 99.0 99.00
2004 01 06 08 00  93 11.6 13.8  1.95  5.00  4.77  99 1019.1   2.7  10.2 999.0 99.0 99.00
2004 01 06 09 00  96 12.0 14.0  2.16  5.56  4.96 109 1018.5   2.3  10.3 999.0 99.0 99.00
2004 01 06 10 00  93 13.3 15.9  2.28  5.26  5.05 114 1016.9   1.6  10.2 999.0 99.0 99.00
