#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 103  8.9 10.7  1.79 12.90  5.48 294 1013.0   4.3   9.2 999.0 99.0 99.00
2011 01 01 00 50 102  9.0 11.0  1.95 12.12  5.77 305 1012.8   4.6   9.2 999.0 99.0 99.00
2011 01 01 01 50  99  8.7 10.5  1.73 12.12  5.26 295 1012.6   4.8   9.1 999.0 99.0 99.00
2011 01 01 02 50  98  8.9 10.5  1.71 12.12  5.32 297 1012.4   4.3   9.1 999.0 99.0 99.00
2011 01 01 03 50 104  8.3 10.0  1.66 12.12  5.31 306 1012.4   4.6   9.1 999.0 99.0 99.00
2011 01 01 04 50 104  7.8  9.2  1.54 11.43  4.99 303 1012.3   4.9   9.1 999.0 99.0 99.00
2011 01 01 05 50  97  8.6 10.1  1.60 10.81  5.06 295 1012.5   4.7   9.1 999.0 99.0 99.00
2011 01 01 06 50  96  9.1 10.7  1.49 11.43  4.66 313 1012.7   4.6   9.1 999.0 99.0 99.00
2011 01 01 07 50  98  9.9 11.4  1.55  4.76  4.60 120 1012.6   4.6   9.1 999.0 99.0 99.00
2011 01 01 08 50  99 10.0 11.9  1.55  4.55  4.44 100 1012.7   4.4   9.1 999.0 99.0 99.00
2011 01 01 09 50  97 10.3 11.9  1.47  4.76  4.32 104 1012.5   4.5   9.1 999.0 99.0 99.00
2011 01 01 10 50  98 10.7 11.9  1.60  4.55  4.52 116 1012.7   4.3   9.1 999.0 99.0 99.00
2011 01 01 11 50  97 10.3 12.0  1.58  5.00  4.47 102 1012.8   4.4   9.1 999.0 99.0 99.00
2011 01 01 12 50 100  9.8 11.3  1.81  7.69  5.04 212 1013.5   4.6   9.1 999.0 99.0 99.00
2011 01 01 13 50 101  9.2 10.4  1.76  8.33  4.88 204 1013.8   4.9   9.1 999.0 99.0 99.00
2011 01 01 14 50 100  9.4 10.8  1.76  8.33  5.00 205 1014.3   5.1   9.1 999.0 99.0 99.00
2011 01 01 15 50  97  9.3 10.9  1.76  7.69  5.14 201 1015.0   5.3   9.2 999.0 99.0 99.00
2011 01 01 16 50 100  9.2 11.1  1.84  9.09  5.24 205 1015.5   5.6   9.2 999.0 99.0 99.00
2011 01 01 17 50 102  9.4 11.0  2.10 17.39  5.96 257 1016.2   5.6   9.2 999.0 99.0 99.00
2011 01 01 18 50  97  9.3 11.4  2.74 17.39  7.03 281 1017.2   5.7   9.2 999.0 99.0 99.00
2011 01 01 19 50  98  8.3 10.5  2.89 16.00  7.58 258 1017.7   5.9   9.2 999.0 99.0 99.00
2011 01 01 20 50 105  7.9  9.6  3.72 16.00  8.84 277 1017.7   6.3   9.2 999.0 99.0 99.00
2011 01 01 21 50  99  7.4  9.4  3.73 14.81  8.80 273 1017.8   6.6   9.2 999.0 99.0 99.00
2011 01 01 22 50  95  7.6 10.3  4.61 16.00 10.21 277 1018.0   6.7   9.2 999.0 99.0 99.00
2011 01 01 23 50  98  7.2  9.8  5.22 13.79 10.68 274 1018.7   6.8   9.2 999.0 99.0 99.00
2011 01 02 00 50  96  6.8  9.9  4.53 16.00 10.10 282 1019.2   7.0   9.2 999.0 99.0 99.00
2011 01 02 01 50  87  7.9 10.1  4.47 14.81 10.32 279 1019.2   6.8   9.2 999.0 99.0 99.00
2011 01 02 02 50  93  7.8  9.8  4.19 16.00  9.78 276 1019.2   6.9   9.2 999.0 99.0 99.00
2011 01 02 03 50  94  6.9  9.3  4.21 14.81 10.05 283 1019.2   7.1   9.2 999.0 99.0 99.00
2011 01 02 04 50  94  6.5  8.7  3.88 16.00 10.32 268 1019.4   6.9   9.1 999.0 99.0 99.00
2011 01 02 05 50  94  6.7  8.7  3.61 14.81  9.85 287 1019.5   6.7   9.1 999.0 99.0 99.00
2011 01 02 06 50  96  6.7  8.4  3.62 14.81  9.62 280 1019.9   6.6   9.1 999.0 99.0 99.00
2011 01 02 07 50  97  6.7  8.8  3.33 13.79  9.03 284 1020.2   6.3   9.1 999.0 99.0 99.00
2011 01 02 08 50 101  5.8  7.1  3.90 13.79  9.90 288 1020.1   6.1   9.0 999.0 99.0 99.00
2011 01 02 09 50  89  5.2  7.1  3.31 13.79  9.29 283 1020.5   6.1   9.0 999.0 99.0 99.00
2011 01 02 10 50  85  7.2  9.1  3.39 13.79  9.08 272 1020.8   5.7   9.0 999.0 99.0 99.00
2011 01 02 11 50  76  5.3  6.8  3.70 12.90  9.32 273 1020.9   6.0   9.0 999.0 99.0 99.00
2011 01 02 12 50  68  4.3  6.2  3.22 11.43  9.02 272 1020.9   5.7   8.9 999.0 99.0 99.00
2011 01 02 13 50  81  5.9  8.2  3.56 12.90  9.53 281 1020.6   5.7   8.9 999.0 99.0 99.00
2011 01 02 14 50  85  6.6  8.7  3.59 12.90  9.42 281 1020.5   5.9   8.9 999.0 99.0 99.00
2011 01 02 15 50  71  6.2  8.1  3.41 13.79  9.17 272 1020.3   5.8   8.9 999.0 99.0 99.00
2011 01 02 16 50  75  6.8  9.0  3.64 12.90 10.06 277 1020.3   5.6   8.9 999.0 99.0 99.00
