#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC   mi    ft
2005 04 14 06 00 306  3.7  4.8 99.00 99.00 99.00 999 1023.4   8.6 999.0 999.0 99.0 99.00
2005 04 14 07 00 260  5.1  6.8 99.00 99.00 99.00 999 1023.9   8.6 999.0 999.0 99.0 99.00
2005 04 14 08 00 268  4.9  6.0 99.00 99.00 99.00 999 1024.3   8.7 999.0 999.0 99.0 99.00
2005 04 14 09 00 258  4.2  5.9 99.00 99.00 99.00 999 1025.0   8.7 999.0 999.0 99.0 99.00
2005 04 14 10 00 243  4.5  5.9 99.00 99.00 99.00 999 1025.2   8.7 999.0 999.0 99.0 99.00
2005 04 14 11 00 238  4.6  5.7 99.00 99.00 99.00 999 1025.6   8.7 999.0 999.0 99.0 99.00
2005 04 14 12 00 214  8.6 10.0 99.00 99.00 99.00 999 1025.7   8.2 999.0 999.0 99.0 99.00
2005 04 14 13 00 229  4.3  5.4 99.00 99.00 99.00 999 1026.6   8.2 999.0 999.0 99.0 99.00
2005 04 14 14 00 223  4.3  5.3 99.00 99.00 99.00 999 1026.8   8.6 999.0 999.0 99.0 99.00
2005 04 14 15 00 236  3.7  5.2  2.35 11.11  7.08 293 1027.1   8.0 999.0 999.0 99.0 99.00
2005 04 14 16 00 211  3.8  4.8  2.31 11.11  7.40 282 1027.4   8.6 999.0 999.0 99.0 99.00
2005 04 14 17 00 205  4.4  5.5  2.29 10.00  7.33 281 1027.4   8.7 999.0 999.0 99.0 99.00
2005 04 14 18 00 216  5.0  6.8  2.39 10.00  7.45 286 1027.6   8.7 999.0 999.0 99.0 99.00
2005 04 14 19 00 183  8.0 10.1  2.33 10.00  7.40 297 1027.6   7.8 999.0 999.0 99.0 99.00
2005 04 14 20 00 162  4.6  5.6  2.23 10.00  6.88 274 1027.5   8.5 999.0 999.0 99.0 99.00
2005 04 14 21 00 194  8.0  9.6  2.28 11.11  6.99 280 1027.1   9.4 999.0 999.0 99.0 99.00
2005 04 14 22 00 209  6.3  7.4  2.18 11.11  6.30 280 1026.9   9.0 999.0 999.0 99.0 99.00
2005 04 14 23 00 188  7.9 10.4  2.17 11.11  6.27 279 1026.3   9.5 999.0 999.0 99.0 99.00
2005 04 15 00 00 186  8.8 10.7  2.08 10.00  6.09 279 1025.6   9.5 999.0 999.0 99.0 99.00
