YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 03 06 158  4.6  5.4  2.48 12.50  8.05 279 1021.9  11.5  10.2   6.5 99.0 99.00
2001 01 03 07 166  7.3  8.7  3.05 12.50  8.64 276 1022.3  12.0  10.2   5.9 99.0 99.00
2001 01 03 08 170  8.1  9.4  2.72 12.50  7.97 274 1022.4  12.6  10.2   4.7 99.0 99.00
2001 01 03 09 170  8.7 10.8  2.62 12.50  7.41 274 1022.7  12.0  10.2   5.8 99.0 99.00
2001 01 03 10 176  7.8  9.8  2.67 12.50  7.46 269 1022.6  11.1  10.2   7.2 99.0 99.00
2001 01 03 11 175  8.6 10.2  2.78 12.50  7.39 276 1022.1  10.9  10.2   8.1 99.0 99.00
2001 01 03 12 186  8.0 10.1  2.33 12.50  6.60 276 1022.9  10.6  10.2   8.5 99.0 99.00
2001 01 03 13 185  8.4 10.7  2.48 12.50  6.56 272 1022.8  10.5  10.2   8.5 99.0 99.00
2001 01 03 14 180  9.5 12.0  2.52 12.50  6.96 268 1022.7  10.5  10.2   8.7 99.0 99.00
2001 01 03 15 180 10.1 12.0  2.58 12.50  6.94 266 1022.6  10.5  10.2   8.6 99.0 99.00
2001 01 03 16 182  9.3 11.1  2.83 12.50  7.15 263 1022.8  10.3  10.2   8.6 99.0 99.00
2001 01 03 17 183 10.0 12.8  2.74 12.50  7.02 264 1023.5  10.2  10.2   8.3 99.0 99.00
2001 01 03 18 175 10.0 12.1  3.15 12.50  7.51 271 1023.4  10.3  10.2   8.1 99.0 99.00
2001 01 03 19 170 11.7 14.8  3.29 12.50  7.54 265 1023.5  10.5  10.2   8.4 99.0 99.00
2001 01 03 20 169 11.1 13.9  3.23 11.11  7.04 257 1022.6  10.3  10.2   8.3 99.0 99.00
2001 01 03 21 174 11.1 13.5  3.68 12.50  7.65 260 1022.3  10.2  10.2   8.5 99.0 99.00
2001 01 03 22 180 11.3 13.9  3.89 11.11  7.42 257 1022.1  10.2  10.2   8.6 99.0 99.00
2001 01 03 23 182 10.5 12.5  3.59 12.50  7.38 261 1022.3  10.2  10.1   8.9 99.0 99.00
2001 01 04 00 172 10.0 12.2  3.88 14.29  7.79 255 1022.2  10.2  10.2   9.2 99.0 99.00
2001 01 04 01 172  9.7 11.5  3.58 14.29  7.51 246 1022.2  10.2  10.2   9.3 99.0 99.00
