#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50  42  4.1  5.0  0.71 12.12  5.12 295 1031.3   5.6   9.9 999.0 99.0 99.00
2015 01 01 00 50  39  7.2  8.3  0.82 12.12  5.32 277 1030.9   6.5   9.7 999.0 99.0 99.00
2015 01 01 01 50  32  8.9  9.8  1.01 12.12  4.42 287 1030.3   6.1   9.5 999.0 99.0 99.00
2015 01 01 02 50  43  9.0 10.6  1.21 12.12  4.38 295 1029.8   5.5   9.5 999.0 99.0 99.00
2015 01 01 03 50  44  8.6  9.8  1.21  7.69  4.67 323 1029.4   5.3   9.4 999.0 99.0 99.00
2015 01 01 04 50  54  5.8  7.5  1.29  7.69  5.14 316 1029.1   5.7   9.4 999.0 99.0 99.00
2015 01 01 05 50  69  5.8  7.1  1.17  7.14  5.09 320 1028.5   6.0   9.4 999.0 99.0 99.00
2015 01 01 06 50  70  6.1  7.2  1.25  7.69  5.18 323 1028.1   6.0   9.3 999.0 99.0 99.00
2015 01 01 07 50  67  7.0  8.5  1.27  7.69  5.26 320 1027.6   6.0   9.5 999.0 99.0 99.00
2015 01 01 08 50  55  5.3  6.6  1.39 13.79  5.37 288 1027.2   6.1   9.4 999.0 99.0 99.00
2015 01 01 09 50  47  5.8  6.9  1.47  7.14  5.56 324 1027.0   6.2   9.5 999.0 99.0 99.00
2015 01 01 10 50  60  5.7  7.0  1.38  7.14  5.36 318 1026.6   6.2   9.7 999.0 99.0 99.00
2015 01 01 11 50  79  5.0  6.4  1.27 12.90  5.07 286 1026.2   5.8   9.7 999.0 99.0 99.00
2015 01 01 12 50  72  4.6  5.6  1.36 13.79  5.24 282 1025.5   6.0   9.9 999.0 99.0 99.00
2015 01 01 13 50  78  7.3  8.2  1.32 13.79  4.98 294 1024.9   6.2  10.0 999.0 99.0 99.00
2015 01 01 14 50  75  5.6  7.0  1.37 13.79  5.34 277 1024.7   6.2  10.1 999.0 99.0 99.00
2015 01 01 15 50  47  3.9  4.6  1.23 12.90  5.20 285 1024.6   6.3  10.3 999.0 99.0 99.00
2015 01 01 16 50  72  5.2  6.2  1.17 12.90  5.32 288 1024.9   6.4  10.2 999.0 99.0 99.00
2015 01 01 17 50  66  4.3  5.4  1.25 12.90  5.56 290 1025.1   6.0  10.0 999.0 99.0 99.00
2015 01 01 18 50  43  3.5  4.9  1.15 12.90  5.74 304 1024.9   6.5   9.9 999.0 99.0 99.00
2015 01 01 19 50  52  3.7  4.9  1.13 12.90  5.66 296 1024.3   6.1  10.0 999.0 99.0 99.00
2015 01 01 20 50  59  3.4  4.1  1.13 12.90  6.28 301 1023.6   6.4  10.1 999.0 99.0 99.00
2015 01 01 21 50  38  2.9  3.9  1.13 12.12  6.15 293 1023.2   6.6  10.1 999.0 99.0 99.00
2015 01 01 22 50  34  3.9  5.0  1.08 12.90  5.86 292 1023.1   7.0  10.1 999.0 99.0 99.00
2015 01 01 23 50  27  4.4  5.3  1.31 12.90  6.78 293 1023.3   7.4  10.1 999.0 99.0 99.00
2015 01 02 00 50  28  6.4  7.3  1.33 12.90  6.55 293 1023.3   7.8  10.0 999.0 99.0 99.00
2015 01 02 01 50  29  6.4  7.5  1.26 12.12  5.78 293 1022.9   7.9  10.0 999.0 99.0 99.00
2015 01 02 02 50  26  6.5  7.6  1.30 12.90  5.91 281 1022.7   7.9   9.9 999.0 99.0 99.00
