#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 267  7.9  9.3  2.41 12.90  6.80 278 1015.3   7.6   9.8 999.0 99.0 99.00
2017 01 01 00 50 303  9.8 14.0  2.29 12.12  6.42 288 1014.6   7.5   9.8 999.0 99.0 99.00
2017 01 01 01 50 310 12.1 14.7  2.51 10.81  6.04 275 1013.9   7.7  10.0 999.0 99.0 99.00
2017 01 01 02 50 302 13.7 18.3  2.91 12.12  6.13 296 1013.5   7.6  10.0 999.0 99.0 99.00
2017 01 01 03 50 281 10.7 13.0  3.30  7.69  6.67 292 1012.8   7.8  10.0 999.0 99.0 99.00
2017 01 01 04 50 277 13.5 18.7  3.01  7.14  6.33 290 1011.2   6.9  10.4 999.0 99.0 99.00
2017 01 01 05 50 295 12.6 15.7  3.45 11.43  6.73 268 1011.0   7.4  10.4 999.0 99.0 99.00
2017 01 01 06 50 290 12.7 15.4  3.84  9.09  7.17 292 1010.6   7.7  10.4 999.0 99.0 99.00
2017 01 01 07 50 283 14.7 18.9  4.30 10.81  7.58 285 1009.7   7.0  10.2 999.0 99.0 99.00
2017 01 01 08 50 276 10.2 12.9  4.39 10.00  7.65 297 1009.0   6.0   9.4 999.0 99.0 99.00
2017 01 01 09 50 293 13.9 17.7  4.56 11.43  8.10 293 1007.9   5.2   9.1 999.0 99.0 99.00
2017 01 01 10 50 288 13.5 16.3  4.68 11.43  7.80 288 1006.4   6.5   9.1 999.0 99.0 99.00
2017 01 01 11 50 290 12.2 15.7  4.70 10.81  7.97 285 1005.5   6.6   9.0 999.0 99.0 99.00
2017 01 01 12 50 290  7.5  9.9  5.56 10.81  8.82 277 1005.3   6.3   8.9 999.0 99.0 99.00
2017 01 01 13 50 351 11.9 16.1  4.93 11.43  8.39 281 1004.6   5.4   8.8 999.0 99.0 99.00
2017 01 01 14 50 321  5.0  6.8  5.08 12.12  8.89 281 1005.1   5.0   8.8 999.0 99.0 99.00
2017 01 01 15 50 354  6.1  8.3  5.14 12.12  8.88 294 1004.9   5.7   8.8 999.0 99.0 99.00
2017 01 01 16 50   2  7.7  9.4  5.56 13.79  9.56 301 1004.9   5.8   8.7 999.0 99.0 99.00
2017 01 01 17 50   7  6.9  9.0  5.21 13.79  9.55 304 1005.5   5.2   8.7 999.0 99.0 99.00
2017 01 01 18 50 356  6.8  9.2  4.98 12.90  9.15 292 1005.8   5.2   8.7 999.0 99.0 99.00
2017 01 01 19 50  27  6.2  8.2  5.74 13.79 10.62 287 1005.5   4.9   8.7 999.0 99.0 99.00
2017 01 01 20 50  36  8.6 10.6  5.72 13.79 10.35 298 1005.2   4.8   8.8 999.0 99.0 99.00
2017 01 01 21 50  43  7.0  8.5  5.10 14.81  9.90 315 1005.3   4.5   8.8 999.0 99.0 99.00
2017 01 01 22 50  58  4.5  6.6  5.24 14.81 10.27 305 1005.3   4.7   8.7 999.0 99.0 99.00
2017 01 01 23 50  61  3.9  6.6  4.96 14.81  9.77 289 1005.3   4.7   8.6 999.0 99.0 99.00
2017 01 02 00 50  44  4.0  6.2  5.92 13.79 10.40 293 1005.7   4.8   8.6 999.0 99.0 99.00
2017 01 02 01 50  54  6.1  8.2  4.69 13.79  9.55 295 1005.6   5.0   8.5 999.0 99.0 99.00
2017 01 02 02 50  65  6.5  8.3  4.92 14.81  9.33 310 1005.8   4.8   8.5 999.0 99.0 99.00
2017 01 02 03 50  72  7.2  9.8  4.23 16.00  8.89 311 1006.2   4.7   8.5 999.0 99.0 99.00
2017 01 02 04 50  49  8.9 11.2  4.33 13.79  9.06 330 1006.6   4.3   8.5 999.0 99.0 99.00
2017 01 02 05 50  63  7.9 10.8  3.94 13.79  8.56 329 1006.8   4.0   8.5 999.0 99.0 99.00
2017 01 02 06 50  65  8.3 11.2  3.97 13.79  9.01 317 1006.8   3.8   8.4 999.0 99.0 99.00
2017 01 02 07 50  42  8.0  9.9  4.05 14.81  9.41 310 1006.9   3.7   8.4 999.0 99.0 99.00
2017 01 02 08 50  60  9.5 11.7  3.66 14.81  8.83 309 1006.8   3.5   8.4 999.0 99.0 99.00
2017 01 02 09 50  68  9.7 11.9  3.74 14.81  9.44 301 1006.9   3.4   8.4 999.0 99.0 99.00
2017 01 02 10 50  83 10.4 12.8  3.96 12.90  9.08 316 1007.1   3.6   8.4 999.0 99.0 99.00
2017 01 02 11 50  86  9.7 11.9  3.72 13.79  8.60 308 1007.2   3.8   8.4 999.0 99.0 99.00
2017 01 02 12 50  86 10.1 13.4  3.59 12.90  8.34 321 1007.4   3.6   8.5 999.0 99.0 99.00
2017 01 02 13 50  80 10.0 12.2  3.89 11.43  8.63 295 1008.0   3.5   8.6 999.0 99.0 99.00
2017 01 02 14 50  81 10.1 13.0  3.89 12.90  8.56 281 1008.6   3.1   8.7 999.0 99.0 99.00
2017 01 02 15 50  80 10.1 13.2  3.43 12.90  8.30 267 1008.9   3.1   8.7 999.0 99.0 99.00
2017 01 02 16 50  71 10.8 13.6  3.15 12.12  7.51 288 1009.6   2.7   8.9 999.0 99.0 99.00
2017 01 02 17 50  79 11.2 13.2  3.29 11.43  7.67 328 1010.1   3.1   9.1 999.0 99.0 99.00
2017 01 02 18 50  86 11.4 14.3  3.12 12.90  7.08 291 1010.8   3.3   9.4 999.0 99.0 99.00
2017 01 02 19 50  87 11.3 14.8  2.52 11.43  6.48 317 1011.2   3.2   9.6 999.0 99.0 99.00
2017 01 02 20 50  89 11.4 14.8  2.64 11.43  6.39 298 1011.3   3.2   9.7 999.0 99.0 99.00
2017 01 02 21 50  89 11.2 13.7  2.51 12.12  6.38 281 1011.7   3.3   9.7 999.0 99.0 99.00
2017 01 02 22 50  91 11.1 14.4  2.38 12.12  5.99 282 1012.1   3.5   9.8 999.0 99.0 99.00
2017 01 02 23 50  94 11.5 13.7  2.35 11.43  5.96 310 1013.1   3.4   9.8 999.0 99.0 99.00
2017 01 03 00 50  83 12.4 15.1  2.25 10.81  5.98 324 1013.6   2.7   9.8 999.0 99.0 99.00
2017 01 03 01 50  86 11.2 13.3  2.22 11.43  5.78 322 1014.3   3.2   9.8 999.0 99.0 99.00
2017 01 03 02 50  82 12.3 14.8  2.11 11.43  5.68 326 1014.6   3.0   9.7 999.0 99.0 99.00
2017 01 03 03 50  82 12.3 15.2  2.21 11.43  5.61 337 1015.3   2.7   9.7 999.0 99.0 99.00
2017 01 03 04 50  87 12.0 14.5  2.18 10.81  5.71 301 1015.9   2.7   9.8 999.0 99.0 99.00
2017 01 03 05 50  88 12.2 14.8  2.09 10.81  5.26 290 1016.5   2.4   9.8 999.0 99.0 99.00
2017 01 03 06 50  87 11.6 14.6  2.09 10.81  5.28 297 1017.1   2.6   9.8 999.0 99.0 99.00
2017 01 03 07 50  98 11.2 13.4  2.09 10.00  5.23 340 1017.7   2.3   9.8 999.0 99.0 99.00
2017 01 03 08 50  94 11.4 14.0  2.02  4.76  5.23 105 1018.0   2.2   9.8 999.0 99.0 99.00
2017 01 03 09 50  94 11.5 13.9  1.88  4.76  4.84  95 1018.4   2.1   9.9 999.0 99.0 99.00
2017 01 03 10 50 101 10.9 13.6  1.88  4.76  4.90  96 1018.9   2.1   9.9 999.0 99.0 99.00
2017 01 03 11 50  97 11.1 13.3  1.84  4.76  5.00 101 1019.3   2.0  10.0 999.0 99.0 99.00
2017 01 03 12 50 100 11.5 13.9  1.82  5.00  4.93 100 1019.5   2.1  10.1 999.0 99.0 99.00
2017 01 03 13 50  95 11.1 14.0  1.72  5.26  4.94  96 1019.7   2.2  10.1 999.0 99.0 99.00
2017 01 03 14 50  99 11.3 13.8  1.85  5.00  4.88  96 1019.9   2.1  10.2 999.0 99.0 99.00
2017 01 03 15 50  87 11.4 14.1  1.75  5.26  4.73  95 1020.3   2.0  10.2 999.0 99.0 99.00
2017 01 03 16 50  75 11.7 14.1  1.74  5.00  4.72  94 1021.2   1.8  10.3 999.0 99.0 99.00
2017 01 03 17 50  76 13.2 16.3  1.82  5.00  4.71 110 1021.5   1.8  10.4 999.0 99.0 99.00
2017 01 03 18 50  89 12.4 16.5  1.84  5.00  4.67  79 1021.6   2.0  10.4 999.0 99.0 99.00
2017 01 03 19 50  92 11.6 14.2  1.82  5.26  4.68  91 1021.2   2.3  10.4 999.0 99.0 99.00
2017 01 03 20 50  83 10.9 12.9  1.77  5.26  4.50  86 1020.6   2.6  10.4 999.0 99.0 99.00
2017 01 03 21 50  86 11.4 13.8  1.61  4.76  4.45  93 1020.3   3.0  10.4 999.0 99.0 99.00
2017 01 03 22 50  83 11.9 14.7  1.70  4.76  4.46  87 1019.8   3.2  10.5 999.0 99.0 99.00
2017 01 03 23 50  80 12.5 15.4  1.59  5.26  4.38  79 1019.7   3.4  10.5 999.0 99.0 99.00
2017 01 04 00 50  79 13.9 16.7  1.63  5.00  4.41  79 1019.5   3.4  10.5 999.0 99.0 99.00
2017 01 04 01 50  74 13.0 15.9  1.69  5.26  4.59  71 1019.2   3.2  10.5 999.0 99.0 99.00
2017 01 04 02 50  72 12.1 14.6  1.60  5.00  4.44  88 1018.8   2.9  10.5 999.0 99.0 99.00
2017 01 04 03 50  73 12.9 15.4  1.77  4.55  4.43  78 1018.6   2.4  10.4 999.0 99.0 99.00
2017 01 04 04 50  71 11.8 14.4  1.66  4.76  4.37  79 1018.6   2.0  10.4 999.0 99.0 99.00
2017 01 04 05 50  66 11.9 15.0  1.66  5.00  4.44  90 1018.3   1.9  10.4 999.0 99.0 99.00
2017 01 04 06 50  70 12.2 14.5  1.79  5.56  4.53  87 1018.1   1.7  10.3 999.0 99.0 99.00
2017 01 04 07 50  61 12.4 15.2  1.62  5.26  4.43  58 1017.8   1.6  10.0 999.0 99.0 99.00
2017 01 04 08 50  59 11.0 13.8  1.58  5.00  4.49  70 1017.2   1.2  10.0 999.0 99.0 99.00
2017 01 04 09 50  56 12.8 14.9  1.47  4.76  4.24  48 1016.5   1.3  10.0 999.0 99.0 99.00
2017 01 04 10 50  60 13.1 15.9  1.58  4.55  4.32  68 1016.1   1.7  10.0 999.0 99.0 99.00
2017 01 04 11 50  57 12.5 15.6  1.73  6.25  4.61  18 1015.7   1.5  10.1 999.0 99.0 99.00
2017 01 04 12 50  61 12.7 15.2  1.64  5.26  4.52  38 1015.1   1.6  10.0 999.0 99.0 99.00
2017 01 04 13 50  60 11.2 14.0  1.67  5.88  4.63  37 1015.8   1.9  10.0 999.0 99.0 99.00
2017 01 04 14 50  58 10.4 13.1  1.61  5.26  4.67  48 1016.6   1.8  10.0 999.0 99.0 99.00
2017 01 04 15 50  54  9.5 12.3  1.51  4.76  4.48  42 1017.7   1.7  10.0 999.0 99.0 99.00
2017 01 04 16 50  62 10.4 13.2  1.31  4.55  4.11  55 1018.8   2.2  10.0 999.0 99.0 99.00
2017 01 04 17 50  52 10.0 12.9  1.46  4.76  4.31  47 1020.2   2.2  10.0 999.0 99.0 99.00
2017 01 04 18 50  56  9.7 12.0  1.43  5.56  4.41  24 1021.0   2.5  10.0 999.0 99.0 99.00
2017 01 04 19 50  64 10.0 14.6  1.33  5.88  4.33  19 1021.1   2.5  10.1 999.0 99.0 99.00
2017 01 04 20 50  69 10.9 13.1  1.34  4.00  4.25  69 1020.8   3.1  10.0 999.0 99.0 99.00
2017 01 04 21 50  74 10.0 12.4  1.35  4.35  4.37  59 1021.1   3.4  10.0 999.0 99.0 99.00
