#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 255  8.7 11.1 99.00 99.00 99.00 999 1021.1   7.5 999.0   2.3 99.0 99.00
2009 01 01 00 50 252  8.3 10.5  4.77 11.43  8.28 276 1021.2   6.6 999.0   2.8 99.0 99.00
2009 01 01 01 50 236  6.5  8.1 99.00 99.00 99.00 999 1020.9   6.3 999.0   3.6 99.0 99.00
2009 01 01 02 50 204  6.6  8.6 99.00 99.00 99.00 999 1020.0   6.3 999.0   4.3 99.0 99.00
2009 01 01 03 50 172  6.8  8.4 99.00 99.00 99.00 999 1019.0   6.6 999.0   4.7 99.0 99.00
2009 01 01 04 50 201  8.7 10.9 99.00 99.00 99.00 999 1017.9   7.3 999.0   5.3 99.0 99.00
2009 01 01 05 50 209 11.8 13.8 99.00 99.00 99.00 999 1016.5   7.8 999.0   5.6 99.0 99.00
2009 01 01 06 50 199 12.6 15.2 99.00 99.00 99.00 999 1015.3   7.7 999.0   5.7 99.0 99.00
2009 01 01 07 50 199 13.1 17.0 99.00 99.00 99.00 999 1014.2   7.4 999.0   5.8 99.0 99.00
2009 01 01 08 50 194 13.7 16.8 99.00 99.00 99.00 999 1012.2   7.3 999.0   5.6 99.0 99.00
2009 01 01 09 50 181 13.0 16.4 99.00 99.00 99.00 999 1009.9   7.6 999.0   6.2 99.0 99.00
2009 01 01 10 50 178 14.7 17.9 99.00 99.00 99.00 999 1007.6   8.0 999.0   7.1 99.0 99.00
2009 01 01 11 50 186 15.4 19.0 99.00 99.00 99.00 999 1004.5   8.5 999.0   8.1 99.0 99.00
2009 01 01 12 50 202 13.7 16.8 99.00 99.00 99.00 999 1003.0   9.4 999.0   9.3 99.0 99.00
2009 01 01 13 50 226 13.0 15.6 99.00 99.00 99.00 999 1002.2  10.1 999.0  10.0 99.0 99.00
2009 01 01 14 50 232 13.3 16.7 99.00 99.00 99.00 999 1002.2  10.3 999.0  10.2 99.0 99.00
2009 01 01 15 50 238 13.7 16.8 99.00 99.00 99.00 999 1002.2  10.4 999.0  10.1 99.0 99.00
2009 01 01 16 50 243 13.4 15.9 99.00 99.00 99.00 999 1002.2  10.3 999.0  10.0 99.0 99.00
2009 01 01 17 50 249 12.9 15.7 99.00 99.00 99.00 999 1003.0  10.1 999.0   9.6 99.0 99.00
2009 01 01 18 50 257 11.7 14.3 99.00 99.00 99.00 999 1004.0   9.9 999.0   9.3 99.0 99.00
2009 01 01 19 50 282  9.5 99.0  4.59 10.00  7.44 262 9999.0   9.3 999.0   8.1 99.0 99.00
2009 01 01 21 50 308  6.8  8.4 99.00 99.00 99.00 999 9999.0   7.8 999.0   6.5 99.0 99.00
2009 01 01 22 50 302  6.2  7.7 99.00 99.00 99.00 999 1005.4   7.9 999.0   6.0 99.0 99.00
2009 01 01 23 50 317  4.8  6.3 99.00 99.00 99.00 999 1004.9   7.7 999.0   5.6 99.0 99.00
2009 01 02 00 50 334  2.8  4.0 99.00 99.00 99.00 999 1004.4   7.6 999.0   5.3 99.0 99.00
2009 01 02 01 50 336  1.8  2.8 99.00 99.00 99.00 999 1003.7   7.2 999.0   5.5 99.0 99.00
2009 01 02 02 50  13  2.7  4.2 99.00 99.00 99.00 999 1002.8   6.7 999.0   5.4 99.0 99.00
2009 01 02 03 50   8  3.2  4.5  3.67 10.00  7.74 255 1001.9   6.5 999.0   5.2 99.0 99.00
2009 01 02 04 50 344  2.6  4.3  3.36 10.00  7.58 262 1000.8   6.1 999.0   4.5 99.0 99.00
2009 01 02 05 50  19  7.3  8.9  3.52 10.00  7.55 259 1000.1   5.7 999.0   3.5 99.0 99.00
2009 01 02 06 50  42  7.7  9.6  3.26  9.09  7.37 238  998.8   5.2 999.0   3.4 99.0 99.00
2009 01 02 07 50  32  6.4  8.1  2.99  9.09  7.13 252  999.0   4.6 999.0   2.9 99.0 99.00
2009 01 02 08 50   8  6.1  7.7  2.93  8.33  7.21 222  999.2   3.6 999.0   2.4 99.0 99.00
2009 01 02 09 50   2  4.6  8.8  2.76  9.09  7.39 227 1000.0   4.2 999.0   3.0 99.0 99.00
2009 01 02 10 50 336  8.2 12.7  2.47  9.09  7.09 247 1001.0   6.1 999.0   3.0 99.0 99.00
2009 01 02 11 50 321 11.9 14.8  2.92  9.09  6.48 222 1002.2   6.9 999.0   0.9 99.0 99.00
2009 01 02 12 50 333 11.7 13.7  2.80 10.00  6.25 280 1003.8   7.0 999.0  -0.6 99.0 99.00
2009 01 02 13 50 321 10.5 12.9  2.95 10.00  6.46 266 1005.5   6.9 999.0  -1.1 99.0 99.00
2009 01 02 14 50 316  9.8 11.8  2.83 10.00  6.52 276 1007.1   6.8 999.0  -1.4 99.0 99.00
2009 01 02 15 50 306  8.9 10.7  2.94  9.09  6.62 244 1008.7   6.7 999.0  -1.2 99.0 99.00
2009 01 02 16 50 306  7.9  9.8 99.00 99.00 99.00 999 1010.3   6.7 999.0  -2.2 99.0 99.00
2009 01 02 17 50 255  8.1  9.9 99.00 99.00 99.00 999 1012.0   4.8 999.0   2.1 99.0 99.00
2009 01 02 18 50 248  6.8  9.0 99.00 99.00 99.00 999 1012.8   4.9 999.0   1.5 99.0 99.00
2009 01 02 19 50 293  7.7  9.5  2.88  9.09  6.65 249 1013.1   5.8 999.0   0.8 99.0 99.00
2009 01 02 20 50 303  8.5 10.1  2.92  9.09  6.74 263 1013.4   6.3 999.0   0.1 99.0 99.00
2009 01 02 21 50 315  8.9 11.1  2.87  9.09  6.59 252 1013.5   6.3 999.0  -0.1 99.0 99.00
2009 01 02 22 50 313  8.7 10.3  2.76  8.33  6.47 268 1014.2   6.5 999.0  -1.5 99.0 99.00
2009 01 02 23 50 315  8.9 11.9 99.00 99.00 99.00 999 1014.8   6.1 999.0  -0.2 99.0 99.00
2009 01 03 00 50 280  4.6  6.4 99.00 99.00 99.00 999 1015.7   5.0 999.0   1.0 99.0 99.00
2009 01 03 01 50 335  3.7  4.8 99.00 99.00 99.00 999 1016.5   4.6 999.0   1.1 99.0 99.00
2009 01 03 02 50 272  5.1  6.1 99.00 99.00 99.00 999 1016.9   4.9 999.0   1.4 99.0 99.00
2009 01 03 03 50 212  5.5  7.1 99.00 99.00 99.00 999 1017.3   5.0 999.0   2.0 99.0 99.00
2009 01 03 04 50 269  4.9  7.6 99.00 99.00 99.00 999 1017.6   4.8 999.0   2.0 99.0 99.00
