#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 03 10 50 179 13.5 17.4  4.05  7.14  7.17 194 1013.2  10.4  10.6  10.4 99.0 99.00
2019 01 03 11 50 180 14.1 16.9  4.25  7.69  7.10 208 1012.7  10.5  10.7  10.5 99.0 99.00
2019 01 03 12 50 181 14.3 17.2  4.22  8.33  7.32 218 1011.6  10.6  10.7  10.6 99.0 99.00
2019 01 03 13 50 185 13.8 16.5  4.42  8.33  7.28 215 1011.4  10.9  10.7  10.9 99.0 99.00
2019 01 03 14 50 188 14.2 17.5  4.53  8.33  7.35 223 1011.3  10.8  10.7  10.8 99.0 99.00
2019 01 03 15 50 189 13.5 16.9  4.11  7.69  7.01 197 1011.3  11.1  10.8  11.1 99.0 99.00
2019 01 03 17 50 183 13.4 16.6  4.27  8.33  7.45 211 1011.8  10.9  10.8  10.9 99.0 99.00
2019 01 03 18 50 185 13.2 15.4  4.32  8.33  7.34 209 1011.6  11.1  10.8  11.1 99.0 99.00
2019 01 03 19 50 186 14.0 16.9  4.56 14.81  7.66 292 1010.6  11.2  10.8  11.2 99.0 99.00
2019 01 03 20 50 184 13.7 17.5  4.47  9.09  7.35 192 1009.9  11.2  10.8  11.2 99.0 99.00
2019 01 03 21 50 181 14.3 17.4  4.32  9.09  7.36 205 1008.9  11.0  10.8  11.0 99.0 99.00
2019 01 03 22 50 184 15.0 18.5  4.67  8.33  7.44 193 1008.6  11.0  10.8  11.0 99.0 99.00
2019 01 03 23 50 180 15.6 19.9  5.03  9.09  7.68 200 1008.1  10.9  10.8  10.9 99.0 99.00
2019 01 04 00 50 174 14.9 18.3  5.05 10.00  7.65 221 1007.0  11.2  10.8  11.2 99.0 99.00
2019 01 04 01 50 173 16.5 20.2  5.72 10.00  8.04 208 1005.8  11.4  10.8  11.4 99.0 99.00
2019 01 04 02 50 170 17.2 22.2  5.19 10.00  7.58 209 1005.0  10.8  10.8  10.2 99.0 99.00
2019 01 04 03 50 172 17.3 21.2  6.36 10.00  8.06 217 1004.2  10.6  10.8  10.3 99.0 99.00
2019 01 04 04 50 224  9.8 11.9  5.87 10.00  8.02 201 1006.0   9.3  10.8   9.3 99.0 99.00
2019 01 04 05 50 204  8.0 10.2  5.56  9.09  8.18 191 1006.3  10.0  10.8   9.9 99.0 99.00
2019 01 04 06 50 194 11.1 13.7  5.92 10.81  8.62 217 1005.9  10.4  10.8  10.2 99.0 99.00
2019 01 04 07 50 197 12.0 14.4  5.59 10.81  8.52 213 1005.9  11.0  10.8   9.6 99.0 99.00
2019 01 04 08 50 196 12.4 15.7  5.43 10.81  8.32 217 1006.3  11.2  10.8   9.5 99.0 99.00
2019 01 04 09 50 194 13.2 16.2  5.41 10.00  8.20 200 1006.6  11.4  10.8   9.3 99.0 99.00
2019 01 04 10 50 201 12.1 17.0  5.22 10.00  8.30 202 1007.2  11.3  10.8   9.4 99.0 99.00
2019 01 04 11 50 215 12.7 18.1  5.10 10.00  8.33 206 1007.6  10.5  10.8   9.0 99.0 99.00
2019 01 04 12 50 205 11.1 13.2  4.56 10.81  8.04 249 1008.1  11.5  10.8   8.3 99.0 99.00
2019 01 04 13 50 206 10.6 13.1  5.05 12.90  8.31 267 1008.1  11.1  10.8   8.8 99.0 99.00
2019 01 04 15 50 204  9.5 11.5  6.05 13.79  9.39 269 1009.0  10.8  10.8   7.7 99.0 99.00
2019 01 04 16 50 194  9.4 11.9  6.21 13.79  9.59 266 1009.8  10.8  10.8   8.4 99.0 99.00
2019 01 04 17 50 208  9.4 11.9  7.21 14.81 10.37 267 1010.2  11.2  10.8   8.0 99.0 99.00
2019 01 04 18 50 195  8.3 10.3  6.99 16.00 10.55 266 1010.4  11.0  10.8   9.0 99.0 99.00
