#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 00 176  8.1 10.4 99.00 99.00 99.00 999 1019.5   9.5   9.9   8.0 99.0 99.00 
2021 01 01 00 10 173  8.2 11.3 99.00 99.00 99.00 999 1019.3   9.5   9.8   8.1 99.0 99.00 
2021 01 01 00 20 176  8.3 11.3 99.00 99.00 99.00 999 1019.3   9.5   9.8   8.3 99.0 99.00 
2021 01 01 00 30 180  7.7  9.8 99.00 99.00 99.00 999 1019.7   9.5   9.7   8.5 99.0 99.00 
2021 01 01 00 40 177  7.5 10.4 99.00 99.00 99.00 999 1019.2   9.6   9.7   8.6 99.0 99.00 
2021 01 01 00 50 177  7.8 10.5 99.00 99.00 99.00 999 1019.1   9.5   9.7   8.5 99.0 99.00 
2021 01 01 01 00 171  7.4  9.5 99.00 99.00 99.00 999 1019.0   9.6   9.7   8.6 99.0 99.00 
2021 01 01 01 10 166  7.5 10.1 99.00 99.00 99.00 999 1019.2   9.6   9.7   8.6 99.0 99.00 
2021 01 01 01 20 175  7.4  9.5 99.00 99.00 99.00 999 1018.9   9.7   9.7   8.7 99.0 99.00 
2021 01 01 01 30 180  7.6  9.7 99.00 99.00 99.00 999 1019.0   9.9 999.0   8.8 99.0 99.00 
2021 01 01 01 40 178  7.9 10.1 99.00 99.00 99.00 999 1019.0  10.0   9.7   8.9 99.0 99.00 
2021 01 01 01 50 176  7.9 10.7 99.00 99.00 99.00 999 1019.5  10.0   9.7   8.9 99.0 99.00 
2021 01 01 02 00 178  8.3 10.8 99.00 99.00 99.00 999 1018.9  10.0   9.7   8.8 99.0 99.00 
2021 01 01 02 10 177  8.4 10.8 99.00 99.00 99.00 999 1018.9  10.0   9.7   8.8 99.0 99.00 
2021 01 01 02 20 178  8.3 10.4 99.00 99.00 99.00 999 1019.0  10.1   9.7   8.9 99.0 99.00 
