YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 01 01 00 183  8.5 10.0  4.38 14.29  9.93 270 1016.2  10.2  11.0   7.3 99.0 99.00
2003 01 01 01 178  9.6 11.6  4.45 14.29  9.66 278 1016.8  10.2  11.0   6.7 99.0 99.00
2003 01 01 02 175 10.7 12.5  4.40 14.29  9.54 275 1016.6   9.7  10.9   8.5 99.0 99.00
2003 01 01 03 185 10.0 12.5  4.20 12.50  8.85 261 1016.6  10.5  10.6   8.1 99.0 99.00
2003 01 01 04 190 10.9 13.1  4.67 14.29  8.67 269 1016.5  10.5  10.5   8.8 99.0 99.00
2003 01 01 05 194  9.9 11.6  4.23 14.29  8.17 266 1016.4   9.7  10.5   8.9 99.0 99.00
2003 01 01 06 201  9.4 11.6  4.55 14.29  8.38 268 1017.0   9.8  10.5   8.8 99.0 99.00
2003 01 01 07 199  9.2 11.2  4.23 14.29  8.56 268 1017.3  10.2  10.3   8.7 99.0 99.00
2003 01 01 08 193  9.9 13.0  4.74 12.50  9.10 263 1017.1  10.3  10.3   8.2 99.0 99.00
2003 01 01 09 191 11.0 13.3  4.49 14.29  8.73 271 1017.3  10.5  10.5   8.4 99.0 99.00
2003 01 01 10 187 11.1 13.7  4.88 16.67  8.60 267 1017.1  10.5  10.5   8.9 99.0 99.00
2003 01 01 11 187 10.2 12.5  4.39 14.29  7.98 267 1017.0   9.8  10.5   6.5 99.0 99.00
2003 01 01 12 177 12.0 15.1  4.86 14.29  8.35 273 1015.6  10.5  10.5   9.0 99.0 99.00
2003 01 01 13 190 14.7 18.3  4.73 12.50  7.91 263 1014.3   9.8  10.5   8.2 99.0 99.00
2003 01 01 14 184 14.9 19.1  4.99 16.67  8.24 265 1013.5   9.5  10.5   8.3 99.0 99.00
2003 01 01 15 175 14.9 20.1  5.10 14.29  7.72 261 1012.5   9.1  10.5   7.6 99.0 99.00
2003 01 01 16 167 16.5 20.6  5.39 14.29  7.79 257 1011.1   8.7  10.3   7.5 99.0 99.00
2003 01 01 17 173 15.4 19.3  5.34  7.69  7.63 188 1011.0   8.9  10.2   8.2 99.0 99.00
2003 01 01 18 175 17.0 20.7  5.21  9.09  7.59 205 1010.4   9.4  10.2   9.2 99.0 99.00
2003 01 01 19 180 15.9 19.8  5.69 11.11  7.95 238 1010.1   9.8  10.2   9.7 99.0 99.00
2003 01 01 20 187 17.2 21.0  6.35 10.00  8.19 999 1009.4   9.8  10.2   9.7 99.0 99.00
2003 01 01 21 192 18.0 23.2  6.90 11.11  8.41 999 1008.7  10.1  10.2  10.0 99.0 99.00
2003 01 01 22 191 17.8 22.4  7.67 11.11  8.86 999 1008.4  10.2  10.3  10.1 99.0 99.00
2003 01 01 23 191 18.5 23.4  7.55 11.11  8.74 999 1008.4  10.4  10.2  10.2 99.0 99.00
2003 01 02 00 190 19.0 25.4  7.21 11.11  8.44 999 1008.8  10.5  10.2  10.3 99.0 99.00
2003 01 02 01 188 18.0 22.8  7.52 11.11  8.60 999 1008.8  11.0  10.2  10.1 99.0 99.00
2003 01 02 02 186 18.2 22.5  7.23 11.11  8.46 225 1008.5  10.6  10.2  10.0 99.0 99.00
2003 01 02 03 186 17.1 22.3  8.11 11.11  8.86 212 1008.7  10.9  10.2  10.1 99.0 99.00
2003 01 02 04 185 17.2 21.7  7.13 11.11  8.59 202 1008.9  10.8  10.2  10.0 99.0 99.00
2003 01 02 05 185 16.8 21.0  6.74 11.11  8.35 999 1008.8  11.0  10.2  10.0 99.0 99.00
2003 01 02 06 183 16.2 20.2  6.69 11.11  8.49 999 1008.4  11.0  10.2   9.8 99.0 99.00
2003 01 02 07 178 16.6 21.0  7.23 11.11  8.59 999 1007.4  10.2  10.2  10.0 99.0 99.00
2003 01 02 08 178 15.8 19.9  6.29 11.11  8.13 999 1006.7  10.3  10.2  10.1 99.0 99.00
2003 01 02 09 183 17.9 22.9  6.42 11.11  8.35 211 1005.4  11.0  10.2   9.2 99.0 99.00
2003 01 02 10 180 18.8 22.9  7.02 11.11  8.51 208 1004.1  11.1  10.2   8.5 99.0 99.00
2003 01 02 11 178 18.6 24.2  7.16 11.11  8.50 213 1003.4  10.5  10.2   9.2 99.0 99.00
2003 01 02 12 183 19.6 26.1  6.99 11.11  8.36 211 1003.2  10.2  10.2   9.9 99.0 99.00
2003 01 02 13 187 18.4 22.5  7.84 11.11  8.57 999 1004.3  10.5  10.2  10.4 99.0 99.00
2003 01 02 14 193 17.1 22.0  7.87 11.11  8.72 213 1005.6  11.0  10.2  10.6 99.0 99.00
2003 01 02 15 195 15.8 20.5  8.40 12.50  9.31 215 1006.9  11.0  10.2  10.7 99.0 99.00
2003 01 02 16 198 14.4 17.6  7.85 12.50  8.81 216 1008.2  11.0  10.2  10.9 99.0 99.00
2003 01 02 17 195 12.8 15.7  7.01 12.50  8.56 203 1009.3  11.4  10.2  11.2 99.0 99.00
2003 01 02 18 187 13.2 17.6  6.43 12.50  8.43 211 1009.8  11.0  10.2  10.8 99.0 99.00
2003 01 02 19 183 13.4 18.9  7.26 12.50  9.20 999 1010.3  10.9  10.2  10.7 99.0 99.00
2003 01 02 20 184 14.9 18.8  6.52 12.50  8.83 219 1009.7  10.6  10.2   9.9 99.0 99.00
2003 01 02 21 185 15.0 18.5  6.85 12.50  8.56 213 1008.0  10.9  10.2  10.3 99.0 99.00
2003 01 02 22 184 15.0 18.2  6.35 12.50  8.63 218 1006.3  11.3  10.3  10.8 99.0 99.00
2003 01 02 23 175 12.4 15.3  5.43 12.50  8.35 218 1005.3  11.0  10.3  10.9 99.0 99.00
2003 01 03 00 172 11.7 14.7  5.70 12.50  8.46 221 1005.0  11.0  10.3  11.0 99.0 99.00
2003 01 03 01 185 15.9 19.8  5.74 12.50  8.53 224 1004.0  11.3  10.2  11.2 99.0 99.00
2003 01 03 02 188 18.8 23.9  6.17 11.11  7.98 999 1003.4  11.3  10.2  10.4 99.0 99.00
2003 01 03 03 184 17.7 22.9  6.97 11.11  8.38 999 1003.3  11.3  10.2  10.6 99.0 99.00
2003 01 03 04 203 16.2 21.1  6.88 12.50  8.26 234 1005.0  12.0  10.3   9.2 99.0 99.00
2003 01 03 05 203 15.3 20.8  6.56 11.11  8.05 221 1005.7  12.0  10.2  11.0 99.0 99.00
2003 01 03 06 215 15.9 21.1  6.32 12.50  8.31 230 1007.6  11.9  10.5   7.9 99.0 99.00
2003 01 03 07 215 14.8 18.3  6.51 12.50  8.30 231 1010.0  11.6  10.6   7.7 99.0 99.00
2003 01 03 08 215 14.0 19.0  5.78 12.50  8.16 233 1011.4  11.4  10.6   7.2 99.0 99.00
2003 01 03 09 202 10.8 13.8  5.44 11.11  7.66 215 1012.5  11.4  10.6   7.3 99.0 99.00
2003 01 03 10 208 11.3 13.9  5.76 12.50  8.07 231 1013.8  11.4  10.9   7.6 99.0 99.00
2003 01 03 11 215 10.5 13.1  5.71 12.50  8.38 225 1015.2  11.4  10.9   7.4 99.0 99.00
2003 01 03 12 202  8.8 10.7  5.05 12.50  8.30 243 1015.8  11.3  10.9   8.5 99.0 99.00
2003 01 03 13 201  8.9 11.5  4.79 12.50  8.41 235 1016.2  11.3  10.6   9.1 99.0 99.00
2003 01 03 14 183  7.1  9.2  5.27 12.50  8.98 238 1016.6  11.3  10.6   9.9 99.0 99.00
2003 01 03 15 178  7.0  9.0  5.50 14.29  9.37 249 1016.8  11.0  10.6  10.4 99.0 99.00
2003 01 03 16 165  7.2  9.0  5.28 14.29  9.58 247 1016.8  11.0  10.5  10.9 99.0 99.00
2003 01 03 17 167  8.1 10.0  6.02 14.29 10.24 249 1017.4  11.0  10.5  10.9 99.0 99.00
2003 01 03 18 166  7.6  9.6  5.15 14.29  9.86 248 1017.3  11.0  10.5  10.9 99.0 99.00
2003 01 03 19 180  8.5 10.3  4.40 12.50  8.82 247 1017.0  11.3  10.5  11.1 99.0 99.00
2003 01 03 20 173  6.2  7.5  4.82 12.50  9.11 254 1017.3  11.3  10.5  10.9 99.0 99.00
2003 01 03 21 170  7.6  9.7  4.66 14.29  8.95 260 1016.9  11.3  10.3  11.2 99.0 99.00
2003 01 03 22 170  8.3  9.9  4.67 12.50  8.38 254 1016.0  11.3  10.5  11.2 99.0 99.00
2003 01 03 23 170  8.0  9.7  4.07 12.50  8.42 263 1015.6  11.3  10.6  11.2 99.0 99.00
2003 01 04 00 165  9.0 11.2  4.69 14.29  8.88 266 1015.0  11.4  11.0  11.3 99.0 99.00
2003 01 04 01 159  8.7 11.0  5.07 14.29  9.33 266 1014.3  11.7  11.0  11.6 99.0 99.00
2003 01 04 02 176  9.8 12.0  5.38 14.29  9.68 272 1014.5  11.7  11.0  11.7 99.0 99.00
2003 01 04 03 149  5.8  7.7  5.57 14.29 10.13 271 1013.8  11.5  11.0  11.4 99.0 99.00
2003 01 04 04 114  7.7 11.3  4.99 14.29  9.78 265 1012.6  12.0  11.0  11.4 99.0 99.00
2003 01 04 05 118  7.6 10.6  4.21 14.29  9.14 273 1011.9  11.7  11.0  11.1 99.0 99.00
2003 01 04 06 122  7.7  9.5  4.05 14.29  8.87 264 1011.2  11.8  11.0  11.6 99.0 99.00
2003 01 04 07 149  9.8 12.0  4.06 14.29  8.75 263 1010.7  11.9  11.0  11.9 99.0 99.00
2003 01 04 08 148  9.0 11.5  3.73 14.29  8.49 260 1009.4  11.8  11.0  11.7 99.0 99.00
2003 01 04 09 166 11.4 14.1  4.36 14.29  8.44 264 1008.6  12.2  11.0  12.0 99.0 99.00
2003 01 04 10 164 10.4 13.3  3.98 12.50  8.28 255 1007.7  11.7  11.0  11.6 99.0 99.00
2003 01 04 11 163 12.9 15.9  4.03 14.29  8.02 270 1006.6  12.1  11.0  12.1 99.0 99.00
2003 01 04 12 167 13.1 15.5  4.23 12.50  7.72 271 1006.1  12.2  11.0  12.1 99.0 99.00
2003 01 04 13 180 15.0 19.0  4.38 12.50  7.34 258 1005.5  12.2  11.0  12.1 99.0 99.00
2003 01 04 14 188 15.0 18.3  4.77 14.29  7.33 269 1006.1  12.0  11.1  11.9 99.0 99.00
2003 01 04 15 194 12.9 15.9  5.02 12.50  7.63 265 1005.9  12.1  11.2  12.0 99.0 99.00
2003 01 04 16 192 12.6 15.7  5.28 11.11  7.62 253 1006.2  12.0  11.2  12.0 99.0 99.00
2003 01 04 17 218 10.0 12.5  5.07 12.50  7.79 263 1007.8  11.7  11.3  11.7 99.0 99.00
2003 01 04 18 222  9.3 11.5  4.91 12.50  8.12 266 1010.3  11.8  11.3  11.6 99.0 99.00
2003 01 04 19 219  9.2 11.7  4.84 10.00  8.08 233 1012.7  11.8  11.3  10.8 99.0 99.00
2003 01 04 20 215  8.2  9.5  4.89 10.00  8.22 217 1013.6  11.7  11.3  11.0 99.0 99.00
2003 01 04 21 232  9.8 12.6  4.49 10.00  8.09 211 1014.6  11.4  11.3  10.0 99.0 99.00
2003 01 04 22 231  8.7 10.7  4.78 10.00  8.72 201 1015.6  11.4  11.3   9.6 99.0 99.00
2003 01 04 23 242  9.1 11.3  4.28 10.00  8.31 204 1017.2  11.3  11.3   7.6 99.0 99.00
2003 01 05 00 242  9.1 11.0  4.39 10.00  8.29 206 1018.8  11.0  11.3   7.4 99.0 99.00
2003 01 05 01 237  8.4 10.1  4.35 16.67  8.58 287 1020.7  11.0  11.3   7.7 99.0 99.00
2003 01 05 02 238  7.1  9.1  4.44 12.50  8.78 248 1021.8  10.9  11.2   7.1 99.0 99.00
2003 01 05 03 241  6.8  8.4  4.45 14.29  8.87 277 1022.7  11.0  11.3   7.6 99.0 99.00
2003 01 05 04 245  5.7  7.7  5.11 16.67  9.53 278 1024.1  11.0  11.1   7.2 99.0 99.00
2003 01 05 05 220  6.7  8.7  4.91 16.67  9.90 274 1025.1  10.9  11.2   8.9 99.0 99.00
2003 01 05 06 225  7.5  9.2  5.28 16.67  9.79 278 1025.9  10.6  11.2   8.6 99.0 99.00
2003 01 05 07 235  5.2  7.1  5.57 14.29  9.65 275 1026.6  10.6  11.2   8.1 99.0 99.00
2003 01 05 08 237  4.3  6.6  5.22 14.29  9.86 278 1027.0  10.6  11.2   8.1 99.0 99.00
2003 01 05 09 208  1.4  3.8  5.84 16.67 10.00 271 1027.2  10.5  11.1   8.6 99.0 99.00
2003 01 05 10 191  2.7  4.6  6.10 14.29 10.01 269 1027.8  10.5  11.1   8.7 99.0 99.00
