#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC   mi    ft
2006 01 01 00 00 211  7.9 10.2  3.53 12.50  8.86 248  991.2  10.6 999.0 999.0 99.0 99.00
2006 01 01 01 00 206  7.8  9.4  2.91 12.50  8.11 245  992.4  10.5 999.0 999.0 99.0 99.00
2006 01 01 02 00 209  8.9 10.5  3.27 14.29  8.65 265  993.3  10.5 999.0 999.0 99.0 99.00
2006 01 01 03 00 220  9.1 11.3  3.68 12.50  8.55 248  994.1  10.5 999.0 999.0 99.0 99.00
2006 01 01 04 00 224  8.0 10.1  3.62 12.50  8.20 263  994.8  10.5 999.0 999.0 99.0 99.00
2006 01 01 05 00 201  8.6 10.1  3.32 12.50  7.81 256  995.7  10.5 999.0 999.0 99.0 99.00
2006 01 01 06 00 197 10.5 12.4  4.15 12.50  8.30 259  996.3  10.4 999.0 999.0 99.0 99.00
2006 01 01 07 00 185 10.0 12.3  4.13 12.50  7.94 252  996.3  10.5 999.0 999.0 99.0 99.00
2006 01 01 08 00 178 10.4 12.1  4.02 11.11  7.33 251  995.9  10.6 999.0 999.0 99.0 99.00
2006 01 01 09 00 160 10.4 12.4  4.57 12.50  8.29 254  994.9  11.0 999.0 999.0 99.0 99.00
2006 01 01 10 00 174 16.8 22.0  4.22 11.11  7.64 253  993.5  10.5 999.0 999.0 99.0 99.00
2006 01 01 11 00 156 13.0 16.6  4.24 11.11  7.23 241  992.7   9.8 999.0 999.0 99.0 99.00
2006 01 01 12 00 130 12.4 15.3  4.60 12.50  7.55 246  990.8  10.4 999.0 999.0 99.0 99.00
2006 01 01 13 00 155 13.8 18.3  4.24 12.50  7.25 246  989.4  11.4 999.0 999.0 99.0 99.00
2006 01 01 14 00 124 13.7 16.9  4.24 12.50  7.16 245  987.3  11.3 999.0 999.0 99.0 99.00
2006 01 01 15 00 130 15.6 19.8  4.66 12.50  7.79 237  984.1  11.8 999.0 999.0 99.0 99.00
2006 01 01 16 00 162 18.0 22.2  4.56 12.50  7.40 233  984.4  10.5 999.0 999.0 99.0 99.00
2006 01 01 17 00 159 17.2 21.9 99.00 99.00 99.00 999  983.8  10.1 999.0 999.0 99.0 99.00
2006 01 01 18 00 140 19.3 24.1  5.78 11.11  7.82 201  981.9  10.0 999.0 999.0 99.0 99.00
2006 01 01 19 00 157 18.3 24.0  5.92 12.50  8.00 207  982.2  10.1 999.0 999.0 99.0 99.00
2006 01 01 20 00 180 17.4 21.2  6.14 11.11  7.90 200  983.8  11.7 999.0 999.0 99.0 99.00
2006 01 01 21 00 180 16.8 21.6  6.14 12.50  8.00 209  984.2  11.6 999.0 999.0 99.0 99.00
2006 01 01 22 00 192 18.8 22.5  7.06 11.11  8.22 212  985.0  11.4 999.0 999.0 99.0 99.00
2006 01 01 23 00 194 16.9 21.4  7.46 12.50  8.66 219  987.2  11.3 999.0 999.0 99.0 99.00
2006 01 02 00 00 196 12.9 16.3  7.07 12.50  8.53 213  989.5  10.6 999.0 999.0 99.0 99.00
2006 01 02 01 00 199 10.3 13.6  7.56 12.50  9.19 219  991.3  10.9 999.0 999.0 99.0 99.00
2006 01 02 02 00 199 12.1 15.5  6.56 12.50  8.98 216  992.1  10.5 999.0 999.0 99.0 99.00
2006 01 02 03 00 193 10.5 13.0  6.24 12.50  9.08 218  992.9  10.9 999.0 999.0 99.0 99.00
2006 01 02 04 00 196  9.7 12.2  6.07 12.50  9.39 232  993.4  11.0 999.0 999.0 99.0 99.00
2006 01 02 05 00 185  6.9  9.2  5.34 12.50  9.05 233  994.3  10.7 999.0 999.0 99.0 99.00
2006 01 02 06 00 185  5.7  7.8  5.41 14.29  9.37 245  995.0  10.7 999.0 999.0 99.0 99.00
2006 01 02 07 00 188  5.8  7.6  5.41 14.29 10.14 242  995.8  10.9 999.0 999.0 99.0 99.00
2006 01 02 08 00 155  8.5 10.6  5.95 14.29 10.67 239  995.9  10.3 999.0 999.0 99.0 99.00
2006 01 02 09 00 173 10.6 12.7  5.73 14.29  9.44 243  996.2   8.9 999.0 999.0 99.0 99.00
2006 01 02 10 00 168  8.5 10.4  5.42 14.29  9.58 247  996.6   8.4 999.0 999.0 99.0 99.00
2006 01 02 11 00 162  6.8  8.5  5.63 14.29  9.46 244  997.5   8.9 999.0 999.0 99.0 99.00
2006 01 02 12 00 165  7.0  8.7  5.85 12.50  9.55 252  998.0   8.5 999.0 999.0 99.0 99.00
2006 01 02 13 00 182  5.1  6.6  5.91 12.50  9.37 255  998.4   8.7 999.0 999.0 99.0 99.00
2006 01 02 14 00 191  4.7  6.6  5.82 12.50  9.21 249  999.2   8.8 999.0 999.0 99.0 99.00
2006 01 02 15 00 150  3.7  5.4  5.46 11.11  8.58 252  999.9   8.2 999.0 999.0 99.0 99.00
2006 01 02 16 00 152  3.1  6.3  6.39 11.11  9.28 254 1000.3   7.9 999.0 999.0 99.0 99.00
2006 01 02 17 00 147  3.9  5.7  5.23 12.50  8.76 252 1001.2   8.6 999.0 999.0 99.0 99.00
2006 01 02 18 00 186  3.8  4.9  5.74 12.50  8.78 246 1001.9   9.0 999.0 999.0 99.0 99.00
2006 01 02 19 00 177  4.5  6.0  5.43 12.50  9.37 260 1002.3   9.0 999.0 999.0 99.0 99.00
2006 01 02 20 00 190  4.1  5.3  5.15 12.50  9.52 259 1002.5   9.2 999.0 999.0 99.0 99.00
2006 01 02 21 00 232  4.1  5.9  4.45 14.29  9.70 254 1002.6  10.0 999.0 999.0 99.0 99.00
2006 01 02 22 00 244  3.9  5.6  4.79 12.50  9.92 255 1002.6  10.2 999.0 999.0 99.0 99.00
2006 01 02 23 00 191  3.6  7.1  4.27 14.29  9.71 252 1003.5   9.5 999.0 999.0 99.0 99.00
2006 01 03 00 00 224  2.2  3.4  4.07 14.29  9.67 253 1004.4  10.2 999.0 999.0 99.0 99.00
2006 01 03 01 00 219  3.0  4.1  3.71 14.29  9.72 248 1004.7   9.8 999.0 999.0 99.0 99.00
2006 01 03 02 00 210  2.7  3.7  3.75 11.11  9.33 257 1005.0   9.8 999.0 999.0 99.0 99.00
2006 01 03 03 00 187  3.4  4.3  3.95 11.11  9.23 249 1005.3   9.7 999.0 999.0 99.0 99.00
2006 01 03 04 00 174  3.9  5.7  4.08 12.50  9.27 248 1005.6   9.8 999.0 999.0 99.0 99.00
2006 01 03 05 00 177  5.1  6.4  3.99 11.11  8.90 242 1006.0   9.8 999.0 999.0 99.0 99.00
2006 01 03 06 00 176  7.2  8.9  4.06 12.50  8.95 254 1006.4   9.8 999.0 999.0 99.0 99.00
2006 01 03 07 00 176  7.9  9.4  3.98 12.50  8.59 255 1006.7  10.1 999.0 999.0 99.0 99.00
2006 01 03 08 00 177  7.9  9.4  4.04 11.11  8.35 258 1006.8  10.1 999.0 999.0 99.0 99.00
2006 01 03 09 00 178  9.7 11.6  3.78 10.00  7.72 255 1006.5  10.2 999.0 999.0 99.0 99.00
2006 01 03 10 00 158 10.4 12.3  3.92 12.50  7.61 253 1006.2   9.2 999.0 999.0 99.0 99.00
2006 01 03 11 00 154 11.4 14.2  3.78 12.50  7.51 256 1006.2   9.7 999.0 999.0 99.0 99.00
2006 01 03 12 00 148 11.6 13.8  3.54 14.29  7.35 245 1005.8   9.5 999.0 999.0 99.0 99.00
2006 01 03 13 00 145 12.2 14.8  3.74 14.29  7.27 252 1005.4   9.6 999.0 999.0 99.0 99.00
2006 01 03 14 00 142 12.0 15.0  3.39 14.29  6.96 243 1005.3   9.4 999.0 999.0 99.0 99.00
2006 01 03 15 00 148 13.3 16.7  3.51 14.29  6.84 233 1004.9   9.4 999.0 999.0 99.0 99.00
2006 01 03 16 00 142 13.6 16.5  3.60 14.29  6.95 242 1004.3   8.9 999.0 999.0 99.0 99.00
2006 01 03 17 00 141 14.2 17.1  3.71  6.67  6.61 171 1004.1   9.0 999.0 999.0 99.0 99.00
2006 01 03 18 00 151 15.0 20.5  3.90  8.33  6.66 197 1004.4   8.7 999.0 999.0 99.0 99.00
2006 01 03 19 00 161 16.9 21.3  4.32  7.69  6.95 189 1004.5   9.0 999.0 999.0 99.0 99.00
2006 01 03 20 00 152 13.1 16.1  5.40  9.09  7.36 206 1004.8   8.3 999.0 999.0 99.0 99.00
2006 01 03 21 00 160 14.3 17.4  5.17 10.00  7.37 211 1004.7   8.7 999.0 999.0 99.0 99.00
2006 01 03 22 00 160 11.5 14.5  5.49 10.00  7.72 203 1005.7   8.6 999.0 999.0 99.0 99.00
2006 01 03 23 00 180  8.8 10.8  5.02 11.11  7.79 219 1007.2   9.7 999.0 999.0 99.0 99.00
2006 01 04 00 00 191  7.2  8.7  4.89 11.11  7.92 217 1008.7  10.3 999.0 999.0 99.0 99.00
2006 01 04 01 00 211  7.7  9.3  4.92 11.11  8.49 218 1010.4  10.6 999.0 999.0 99.0 99.00
2006 01 04 02 00 216  6.1  7.9  4.75 12.50  8.58 251 1012.3   9.0 999.0 999.0 99.0 99.00
2006 01 04 03 00 234  6.6  8.5  4.78 11.11  8.76 216 1013.4  10.2 999.0 999.0 99.0 99.00
2006 01 04 04 00 218  9.3 11.8  4.42 11.11  8.98 211 1014.9  10.5 999.0 999.0 99.0 99.00
2006 01 04 05 00 204  9.3 11.6  4.70 20.00  9.81 255 1016.1  10.4 999.0 999.0 99.0 99.00
2006 01 04 06 00 206  9.1 11.0  5.61 16.67 10.33 261 1017.3  10.2 999.0 999.0 99.0 99.00
2006 01 04 07 00 198  8.4 10.6  5.21 16.67 10.22 256 1018.1  10.2 999.0 999.0 99.0 99.00
2006 01 04 08 00 195  8.4 10.2  5.44 16.67 10.54 252 1019.1  10.2 999.0 999.0 99.0 99.00
2006 01 04 09 00 202  8.9 11.2  5.81 16.67 10.90 257 1020.4  10.3 999.0 999.0 99.0 99.00
2006 01 04 10 00 188  6.9  8.8  5.57 20.00 10.25 260 1021.0  10.3 999.0 999.0 99.0 99.00
2006 01 04 11 00 180  7.3  8.9  5.76 16.67 10.78 252 1022.2  10.3 999.0 999.0 99.0 99.00
2006 01 04 12 00 164  8.1 10.2  6.19 16.67 10.66 244 1022.2  10.6 999.0 999.0 99.0 99.00
2006 01 04 13 00 163 10.0 12.0  5.98 16.67 10.25 242 1022.2  10.5 999.0 999.0 99.0 99.00
2006 01 04 14 00 154  9.1 12.5  6.26 16.67 10.10 245 1021.9  10.6 999.0 999.0 99.0 99.00
2006 01 04 15 00 145  8.8 11.0  5.95 14.29  9.96 251 1022.2  10.5 999.0 999.0 99.0 99.00
2006 01 04 16 00 122  7.5 10.2  6.70 16.67 10.63 257 1022.7  10.8 999.0 999.0 99.0 99.00
2006 01 04 17 00 102  7.7 11.8  6.41 16.67 10.76 267 1023.2   9.8 999.0 999.0 99.0 99.00
2006 01 04 18 00 105  9.0 12.7  6.63 16.67 10.86 267 1022.9  10.0 999.0 999.0 99.0 99.00
2006 01 04 19 00 105  8.2 11.9  6.91 16.67 10.98 273 1022.4  10.2 999.0 999.0 99.0 99.00
2006 01 04 20 00 118  8.3 12.1  5.78 16.67 10.02 271 1021.8  11.0 999.0 999.0 99.0 99.00
2006 01 04 21 00 103  9.7 13.5  5.46 14.29  9.78 262 1020.1  11.0 999.0 999.0 99.0 99.00
2006 01 04 22 00 111  8.6 11.3  4.95 16.67  9.64 259 1019.1  11.7 999.0 999.0 99.0 99.00
2006 01 04 23 00  97  8.9 11.6  5.18 16.67 10.50 258 1018.5  11.5 999.0 999.0 99.0 99.00
2006 01 05 00 00 106  8.6 11.5  4.52 16.67  9.67 257 1018.4  11.7 999.0 999.0 99.0 99.00
2006 01 05 01 00 145  9.5 11.5  4.11 14.29  8.83 253 1018.2  13.5 999.0 999.0 99.0 99.00
2006 01 05 02 00 163 12.9 17.7  3.94 14.29  8.19 252 1017.9  13.3 999.0 999.0 99.0 99.00
2006 01 05 03 00 153 12.6 16.1  3.75 14.29  7.79 250 1017.4  13.3 999.0 999.0 99.0 99.00
2006 01 05 04 00 154 14.9 20.2  3.76 14.29  6.96 254 1016.3  13.5 999.0 999.0 99.0 99.00
2006 01 05 05 00 153 15.7 19.1  4.11 14.29  6.63 240 1015.4  13.2 999.0 999.0 99.0 99.00
2006 01 05 06 00 150 15.7 20.7  4.10 14.29  6.73 253 1014.4  13.6 999.0 999.0 99.0 99.00
2006 01 05 07 00 161 14.7 18.1  4.99 10.00  7.38 217 1015.4  13.6 999.0 999.0 99.0 99.00
2006 01 05 08 00 166 13.7 16.6 99.00 99.00 99.00 999 1015.6  13.6 999.0 999.0 99.0 99.00
2006 01 05 09 00 180 15.3 18.8  5.90 11.11  8.20 231 1016.1  13.6 999.0 999.0 99.0 99.00
2006 01 05 10 00 172 15.7 19.4 99.00 99.00 99.00 999 1015.8  13.5 999.0 999.0 99.0 99.00
2006 01 05 11 00 175 15.3 18.6 99.00 99.00 99.00 999 1015.8  13.4 999.0 999.0 99.0 99.00
2006 01 05 12 00 188 13.1 16.4  5.40 12.50  7.90 222 1017.2  12.4 999.0 999.0 99.0 99.00
2006 01 05 13 00 176 14.6 18.7  6.26 12.50  8.64 222 1016.8  12.1 999.0 999.0 99.0 99.00
2006 01 05 14 00 180 13.8 18.3  5.88 12.50  8.82 212 1017.5  11.6 999.0 999.0 99.0 99.00
2006 01 05 15 00 182 12.7 15.9  6.14 14.29  9.11 229 1018.2  11.4 999.0 999.0 99.0 99.00
2006 01 05 16 00 184 12.2 14.8  6.71 14.29  9.64 223 1019.0  11.4 999.0 999.0 99.0 99.00
2006 01 05 17 00 187 10.2 12.6  6.43 14.29  9.58 222 1020.2  11.3 999.0 999.0 99.0 99.00
2006 01 05 18 00 183  7.7 10.2  7.19 20.00 10.94 236 1020.8  11.0 999.0 999.0 99.0 99.00
2006 01 05 19 00 170  8.2  9.9  6.77 20.00 10.86 238 1020.7  11.0 999.0 999.0 99.0 99.00
2006 01 05 20 00 162  7.1  8.7  7.29 16.67 11.06 238 1019.9  11.0 999.0 999.0 99.0 99.00
2006 01 05 21 00 170  7.6  9.4  8.86 16.67 12.52 239 1019.7  11.0 999.0 999.0 99.0 99.00
