#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 01 03 03 50 102  9.5 11.3  1.85 16.00  6.04 287 1019.4   7.8  10.2 999.0 99.0 99.00
2013 01 03 04 50 105  8.8 10.7  2.40 14.81  7.12 284 1019.3   7.7  10.2 999.0 99.0 99.00
2013 01 03 05 50 109  8.3 10.1  2.44 13.79  7.41 283 1019.3   7.4  10.2 999.0 99.0 99.00
2013 01 03 06 50 104  8.7 10.5  2.46 13.79  7.59 287 1019.3   7.2  10.2 999.0 99.0 99.00
2013 01 03 07 50 108  8.7 10.5  2.57 13.79  7.61 294 1019.1   7.2  10.2 999.0 99.0 99.00
2013 01 03 08 50 101  9.4 11.2  2.72 14.81  7.58 289 1018.2   7.1  10.2 999.0 99.0 99.00
2013 01 03 09 50 104  8.6 10.6  3.14 13.79  8.39 285 1018.3   7.0  10.2 999.0 99.0 99.00
2013 01 03 10 50 103  9.8 11.7  2.69 12.90  7.64 288 1017.9   7.0  10.2 999.0 99.0 99.00
2013 01 03 11 50 105  9.6 11.7  2.96 12.12  7.59 292 1017.3   7.3  10.1 999.0 99.0 99.00
2013 01 03 12 50 104  9.3 11.4  2.54 13.79  6.80 299 1016.8   7.2  10.1 999.0 99.0 99.00
2013 01 03 13 50 104  9.8 11.8  2.65 13.79  6.85 284 1016.5   6.9  10.1 999.0 99.0 99.00
2013 01 03 14 50 103  9.6 11.2  2.27 13.79  6.20 287 1016.3   7.2  10.1 999.0 99.0 99.00
2013 01 03 15 50 106 10.0 11.9  2.40 13.79  6.32 279 1016.0   7.2  10.1 999.0 99.0 99.00
2013 01 03 16 50 109 10.2 12.1  2.30 13.79  6.23 286 1016.4   7.2  10.1 999.0 99.0 99.00
2013 01 03 17 50 110 10.3 12.5  2.33 10.81  6.18 258 1016.8   7.3  10.1 999.0 99.0 99.00
2013 01 03 18 50 106 10.7 12.5  2.68 13.79  6.71 301 1016.7   7.4  10.1 999.0 99.0 99.00
